Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,373.25,373.25,331.75,333.8,15716700,333.8,-0.112470088
2016/2/8,367.35,376.5,343.5,376.1,17665300,376.1,0.035090133
2016/2/5,317,376.55,310.75,363.35,39203100,363.35,0.106762108
2016/2/4,305,342.7,288.55,328.3,27597900,328.3,0.199488491
2016/2/3,250.95,275.8,245.8,273.7,12821900,273.7,0.085465001
2016/2/2,271.45,272.9,244.7,252.15,13476000,252.15,-0.079912425
2016/2/1,280.05,286.442,263.7,274.05,12702500,274.05,-0.01225446
2016/1/29,283.8,287.85,262.1,277.45,15165700,277.45,0.005617978
2016/1/28,259.5,292.75,255.85,275.9,23128700,275.9,0.08729064
2016/1/27,252,255.45,238.1,253.75,16470900,253.75,0.001578843
2016/1/26,222.3,254.55,215.55,253.35,21886400,253.35,0.118049426
2016/1/25,229.6,251.168,216.914,226.6,14248000,226.6,-0.000441112
2016/1/22,255.55,260.7,224.45,226.7,24012700,226.7,-0.085887097
2016/1/21,222.65,250.2,217.2,248,24697200,248,0.121918118
2016/1/20,222,228.151,218.75,221.05,15914300,221.05,-0.074329983
2016/1/19,242.35,261.65,237,238.8,18801600,238.8,0.026434558
2016/1/18,232.7,242.75,227.35,232.65,12321000,232.65,-0.000429646
2016/1/15,251.8,256.55,230.3,232.75,20904600,232.75,-0.114850732
2016/1/14,231,271.9,228,262.95,22790300,262.95,0.136098509
2016/1/13,236,248.3,227.1,231.45,18358800,231.45,-0.004516129
2016/1/12,230,251.75,222.4,232.5,19400400,232.5,0.008895639
2016/1/11,225.95,243.95,221.5,230.45,17122100,230.45,0.005453752
2016/1/8,242.85,250.3,227.9,229.2,14790400,229.2,-0.047579472
2016/1/7,251,252.45,237.65,240.65,21010700,240.65,-0.110022189
2016/1/6,281,282,259.35,270.4,13893700,270.4,-0.026813029
2016/1/5,278.4,291.7,275.45,277.85,9085600,277.85,0
2016/1/4,292.35,294.458,272.75,277.85,13842100,277.85,-0.072132242
2015/12/31,301.4,303.7,296.9,299.45,1701500,299.45,-0.007786614
2015/12/30,304.6,314.455,296.3,301.8,6308700,301.8,-0.018057589
2015/12/29,322.6,323.076,301.85,307.35,9476500,307.35,-0.063100137
2015/12/24,323.35,331.25,323.35,328.05,2278100,328.05,0.014535333
2015/12/23,301.3,324.73,301.3,323.35,11160400,323.35,0.090556492
2015/12/22,284.3,297.506,282.5,296.5,7686100,296.5,0.057040998
2015/12/21,279.9,298.2,276.456,280.5,11136800,280.5,0.006639153
2015/12/18,264.25,283,262,278.65,16656900,278.65,0.057294631
2015/12/17,282.1,286.65,261.65,263.55,12286500,263.55,-0.052659957
2015/12/16,261.55,285.713,261.5,278.2,15688600,278.2,0.026189598
2015/12/15,285.1,292.964,269.65,271.1,16488700,271.1,-0.03454416
2015/12/14,293.55,305,278.8,280.8,15824700,280.8,-0.041474654
2015/12/11,316.3,321.3,291.15,292.95,21626700,292.95,-0.080652754
2015/12/10,322,333.6,313.6,318.65,21192600,318.65,-0.003284329
