Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,3055,3057,2999,3039,860700,3039,-0.001970443
2016/2/8,3117,3117,3035,3045,793400,3045,-0.016790442
2016/2/5,3139,3189,3092,3097,642900,3097,-0.012121212
2016/2/4,3212,3212,3116.06,3135,900300,3135,-0.007597341
2016/2/3,3195,3206,3146,3159,747900,3159,-0.0128125
2016/2/2,3145,3206,3136.16,3200,1110700,3200,0.015873016
2016/2/1,3140,3159,3096,3150,781700,3150,0
2016/1/29,3079,3150,3072,3150,858400,3150,0.032786885
2016/1/28,3059,3071,3030,3050,476300,3050,-0.009096816
2016/1/27,3018,3078,3008,3078,614800,3078,0.020895522
2016/1/26,2990,3019,2980,3015,529700,3015,-0.001986097
2016/1/25,3019,3021,2984,3021,663300,3021,0.008681135
2016/1/22,2994,3007,2972,2995,672100,2995,0.015598508
2016/1/21,2933,2959,2919,2949,916800,2949,0.009240246
2016/1/20,2968,2982,2909,2922,746300,2922,-0.02923588
2016/1/19,3053,3054,2997.75,3010,988500,3010,0.00266489
2016/1/18,2990,3019,2976,3002,585200,3002,0.005358339
2016/1/15,3012,3037,2976,2986,1353300,2986,-0.010930772
2016/1/14,2998,3059,2977,3019,1137500,3019,-0.007234462
2016/1/13,3077,3077,3041,3041,934400,3041,-0.002623811
2016/1/12,3036,3070,3031,3049,708500,3049,0.00428195
2016/1/11,3036,3063,3033,3036,722000,3036,0.00098912
2016/1/8,3121,3144,3028,3033,1088800,3033,-0.025385604
2016/1/7,3133,3164,3106,3112,806300,3112,-0.025367992
2016/1/6,3251,3251,3184,3193,679400,3193,-0.025335775
2016/1/5,3280,3285,3214,3276,385900,3276,0
2016/1/4,3327,3327,3256,3276,556000,3276,-0.019748654
2015/12/31,3383,3383,3341,3342,108900,3342,-0.010657194
2015/12/30,3365,3386,3350,3378,257800,3378,0.002969121
2015/12/29,3363,3380,3325,3368,360600,3368,0.008685235
2015/12/24,3330,3348,3312,3339,115300,3339,0.006329114
2015/12/23,3288,3331.08,3286,3318,569200,3318,0.018728892
2015/12/22,3257,3274,3221,3257,633900,3257,0.006489493
2015/12/21,3286,3305,3236,3236,603700,3236,-0.027351969
2015/12/18,3392,3399,3326.77,3327,1222000,3327,-0.022620447
2015/12/17,3451,3451,3396,3404,563000,3404,0.004129794
2015/12/16,3399,3421,3390,3390,1313500,3390,-0.002354326
2015/12/15,3366,3411,3355.45,3398,727500,3398,0.014934289
2015/12/14,3404,3439,3345,3348,607900,3348,-0.01616221
2015/12/11,3433,3464,3398,3403,665700,3403,-0.009604191
2015/12/10,3472,3474.84,3428,3436,612200,3436,-0.022196927
2015/12/9,3534,3545,3506,3514,517000,3489,0.000284657
2015/12/8,3550,3570,3511,3513,594300,3488.007,-0.010422535
2015/12/7,3509,3588,3508,3550,430300,3524.744,0.018651363
2015/12/4,3458,3528,3423,3485,879400,3460.206,0.002012651
2015/12/3,3550,3584,3467,3478,1084100,3453.256,-0.03362045
2015/12/2,3549,3606,3536,3599,417100,3573.395,0.015519187
2015/12/1,3560,3571,3524,3544,619500,3518.787,-0.000564016
2015/11/30,3516,3556,3496,3546,994000,3520.772,0.008532423
2015/11/27,3496,3526,3487,3516,324400,3490.986,0.001138952
2015/11/26,3517,3527,3503,3512,334400,3487.014,0.002283105
2015/11/25,3451,3504,3444,3504,734900,3479.071,0.018012783
2015/11/24,3460,3460,3408,3442,608800,3417.512,-0.008069164
2015/11/23,3498,3498,3458,3470,503400,3445.313,-0.013083049
2015/11/20,3515,3519,3477,3516,649800,3490.986,0.003424658
2015/11/19,3455,3508,3442,3504,572100,3479.071,0.01712627
2015/11/18,3436,3449,3405,3445,354500,3420.491,0.000580889
2015/11/17,3430,3449,3408,3443,575100,3418.505,0.011160059
2015/11/16,3361,3407,3361,3405,436500,3380.775,0.008888889
2015/11/13,3402,3403,3373,3375,553600,3350.989,-0.01142355
2015/11/12,3459,3472,3413.76,3414,622500,3389.711,-0.011580776
2015/11/11,3428,3500,3425,3454,730200,3429.427,0.012012892
2015/11/10,3436,3442,3382,3413,837500,3388.719,0.001173365
2015/11/9,3429,3442,3404,3409,657300,3384.747,-0.005832604
2015/11/6,3494,3498,3413,3429,672500,3404.605,-0.015221137
2015/11/5,3444,3499,3440,3482,928600,3457.228,0.013682678
2015/11/4,3439,3468,3430,3435,655800,3410.562,0
2015/11/3,3348,3439,3333,3435,830900,3410.562,0.000291206
2015/11/2,3439,3465,3391,3434,866200,3409.569,-0.006078148
2015/10/30,3520,3524,3440,3455,674300,3430.42,-0.014827488
2015/10/29,3480,3520.6,3476,3507,967300,3482.05,0.010662824
2015/10/28,3424,3479,3424,3470,412700,3445.313,0.013434579
2015/10/27,3404,3446,3389.6,3424,557700,3399.64,0.008541973
2015/10/26,3388,3410,3372,3395,436900,3370.847,-0.001176817
2015/10/23,3396,3419,3392,3399,448300,3374.818,0.006812796
2015/10/22,3351,3392,3338,3376,448600,3351.982,0.004462957
2015/10/21,3330,3366,3318,3361,451400,3337.088,0.013264998
2015/10/20,3294,3320,3283,3317,499400,3293.402,0.010048721
2015/10/19,3278,3299,3254,3284,434000,3260.636,-0.007255139
2015/10/16,3288,3313,3254,3308,755500,3284.466,0.003640777
2015/10/15,3288,3307,3269,3296,647500,3272.551,0.011663597
2015/10/14,3296,3309,3230,3258,828700,3234.821,-0.01570997
2015/10/13,3339,3340,3294,3310,944700,3286.451,-0.020420243
2015/10/12,3333,3382,3319,3379,447300,3354.96,0.010768771
2015/10/9,3409,3410,3343,3343,815200,3319.217,-0.012115839
2015/10/8,3375,3392,3345,3384,556300,3359.925,0.003558719
2015/10/7,3443,3450,3359,3372,653100,3348.01,-0.016909621
2015/10/6,3444,3454,3421,3430,429000,3405.598,0
2015/10/5,3401,3441,3394,3430,738500,3405.598,0.018711019
2015/10/2,3373,3386,3318,3367,459800,3343.046,0.004175365
2015/10/1,3384,3399,3347,3353,658600,3329.145,0.003892216
2015/9/30,3262,3344,3252,3340,888500,3316.238,0.042121685
2015/9/29,3221,3237,3202,3205,483200,3182.198,-0.014149492
2015/9/28,3244,3268,3234.3,3251,701100,3227.871,0.003085467
2015/9/25,3196,3251,3187,3241,594000,3217.942,0.028562361
2015/9/24,3141,3181,3140,3151,726300,3128.582,0.003503185
2015/9/23,3104,3170,3091,3140,672400,3117.661,0.012903226
2015/9/22,3174,3231,3100,3100,625700,3077.945,-0.023622047
2015/9/21,3135,3205,3135,3175,474100,3152.412,0.011468621
2015/9/18,3183,3183.62,3085,3139,861800,3116.668,-0.014133166
2015/9/17,3148,3195,3125,3184,694000,3161.348,0.014659018
2015/9/16,3133,3157,3120,3138,741200,3115.675,0.010628019
