Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,1698,1708,1668,1680,878900,1680,-0.007678677
2016/2/8,1716,1716,1691,1693,1004000,1693,-0.005287897
2016/2/5,1740,1744,1702,1702,2185300,1702,-0.019585253
2016/2/4,1770,1774,1733,1736,1333500,1736,-0.013636364
2016/2/3,1767,1777,1757,1760,1427300,1760,-0.008450704
2016/2/2,1763,1787,1762,1775,746300,1775,0.003959276
2016/2/1,1782,1782,1749,1768,736600,1768,-0.003382187
2016/1/29,1744,1774,1735,1774,1106900,1774,0.028405797
2016/1/28,1729,1751,1725,1725,1051300,1725,-0.00862069
2016/1/27,1698,1740,1693,1740,1132800,1740,0.025338833
2016/1/26,1679,1708,1679,1697,837400,1697,0.001770956
2016/1/25,1688,1695,1676,1694,643300,1694,0.010739857
2016/1/22,1680,1682,1656,1676,555400,1676,0.011466506
2016/1/21,1619,1682,1619,1657,1253000,1657,0.023471279
2016/1/20,1670,1676,1612,1619,987800,1619,-0.044837758
2016/1/19,1663,1695,1623.17,1695,1166600,1695,0.032906764
2016/1/18,1622,1644,1616,1641,701400,1641,0.006748466
2016/1/15,1611,1630.25,1599.76,1630,1126000,1630,0.011793917
2016/1/14,1623,1624,1605,1611,473200,1611,-0.014678899
2016/1/13,1645,1650,1626,1635,421500,1635,0
2016/1/12,1621,1641,1613,1635,672400,1635,0.012383901
2016/1/11,1610,1628.8,1603,1615,693900,1615,-0.00308642
2016/1/8,1601,1638,1598,1620,539400,1620,0.011867583
2016/1/7,1600,1614,1591.64,1601,1001300,1601,-0.017188459
2016/1/6,1622,1637,1605.55,1629,681800,1629,0.012430081
2016/1/5,1623,1633,1605.4,1609,211200,1609,0
2016/1/4,1642,1650,1599,1609,548200,1609,-0.030138638
2015/12/31,1662,1670,1632.8,1659,141500,1659,-0.001805054
2015/12/30,1665,1665,1652,1662,246000,1662,-0.006575015
2015/12/29,1650,1673.26,1639.09,1673,399200,1673,0.020744356
2015/12/24,1654,1654,1639,1639,40100,1639,-0.004252734
2015/12/23,1637,1649,1616,1646,605600,1646,0.011677935
2015/12/22,1645,1645,1619,1627,409100,1627,-0.004892966
2015/12/21,1650,1657,1635,1635,401500,1635,-0.012084592
2015/12/18,1667,1683,1650,1655,860100,1655,-0.011940299
2015/12/17,1698,1699,1675,1675,651300,1675,0.001794258
2015/12/16,1654,1674,1654,1672,613200,1672,0.011494253
2015/12/15,1625,1657.5,1624.5,1653,731000,1653,0.026070764
2015/12/14,1618,1636,1606,1611,695400,1611,-0.001239926
2015/12/11,1607,1627,1604,1613,1221200,1613,0.003109453
2015/12/10,1609,1627,1603,1608,728200,1608,-0.006794317
2015/12/9,1624,1638,1617,1619,432900,1619,-0.002464572
2015/12/8,1632,1639,1621,1623,412900,1623,-0.006731946
2015/12/7,1626,1652.4,1624,1634,419600,1634,0.009888752
2015/12/4,1616,1623,1605,1618,493600,1618,-0.001850709
2015/12/3,1644,1658,1615,1621,576500,1621,-0.017575758
2015/12/2,1646,1656,1635,1650,563100,1650,0.006711409
