Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,229.4,234.3,221.6,225.5,5999200,225.5,-0.019991308
2016/2/8,244.3,244.9,229,230.1,5447800,230.1,-0.051134021
2016/2/5,241.7,248.1,237.6,242.5,5739800,242.5,0.008316008
2016/2/4,228,243,227.7,240.5,9460700,240.5,0.072224699
2016/2/3,234.5,235,220.3,224.3,10740500,224.3,-0.045531915
2016/2/2,243.4,246.24,233.9,235,8401800,235,-0.040816327
2016/2/1,248.2,248.2,241,245,6911500,245,-0.006085193
2016/1/29,240.9,247.3,239.7,246.5,7511500,246.5,0.040084388
2016/1/28,238,244.1,232,237,7739800,237,-0.0125
2016/1/27,237.9,245.208,230,240,8313900,240,0.030927835
2016/1/26,221.9,234,218.2,232.8,5462900,232.8,0.031457687
2016/1/25,234.4,234.551,224.1,225.7,4488600,225.7,-0.027574321
2016/1/22,231.6,236.5,228.2,232.1,7730600,232.1,0.028356225
2016/1/21,218.5,227.3,217,225.7,7096100,225.7,0.042494226
2016/1/20,224.4,225.7,214.7,216.5,5241500,216.5,-0.051686378
2016/1/19,227.1,233.9,226.6,228.3,4629200,228.3,0.021019678
2016/1/18,226.3,231.4,223,223.6,4380400,223.6,-0.012367491
2016/1/15,231.8,233.1,222.5,226.4,7576200,226.4,-0.026236559
2016/1/14,240,240.4,231.4,232.5,8036700,232.5,-0.043209877
2016/1/13,245.6,251.725,241.3,243,7065000,243,-0.005321326
2016/1/12,251.5,251.5,244.2,244.3,6035100,244.3,-0.022408964
2016/1/11,248.9,254.5,248.2,249.9,6156100,249.9,0.002406739
2016/1/8,250,257,248.94,249.3,9041400,249.3,0.001204819
2016/1/7,255,256.5,244.8,249,16708900,249,-0.077777778
2016/1/6,274.1,275.368,266.2,270,6039600,258,-0.042553191
2016/1/5,274.9,277.5,264.5,282,8249200,269.467,0
2016/1/4,285.4,287.485,279,282,4644500,269.467,-0.025570145
2015/12/31,288.8,291,287.4,289.4,881400,276.538,0.001384083
2015/12/30,289.8,290.517,284.4,289,2454600,276.156,-0.005163511
2015/12/29,290,292.5,288.4,290.5,4077500,277.589,0.001724138
2015/12/24,293.5,293.5,289.5,290,1157000,277.111,-0.007868628
2015/12/23,291.9,294.6,290.9,292.3,4548800,279.309,0.008626639
2015/12/22,286.3,290.8,285.349,289.8,2420100,276.92,0.017199017
2015/12/21,286.5,290.4,284.9,284.9,3303200,272.238,-0.008353637
2015/12/18,286.3,289,282.2,287.3,5826200,274.531,-0.005882353
2015/12/17,301.2,301.6,284.8,289,6823500,276.156,-0.020670959
2015/12/16,293.7,298.701,289.5,295.1,4026600,281.984,0.013740982
2015/12/15,282.9,292.2,282.6,291.1,4316900,278.162,0.038159772
2015/12/14,287.5,292.4,280.3,280.4,4376700,267.938,-0.020607754
2015/12/11,291.2,291.3,283.9,286.3,5419800,273.576,-0.022533288
2015/12/10,297.1,299.3,290.6,292.9,5060300,279.882,-0.017773307
2015/12/9,300.2,303,293.3,298.2,4649000,284.947,-0.006
2015/12/8,306.8,306.8,299.4,300,8345800,286.667,-0.017681729
2015/12/7,305.1,309.9,303.8,305.4,3881900,291.827,0.004605263
2015/12/4,299.5,305.2,298.4,304,5345400,290.489,0.009296149
2015/12/3,309.7,314.1,299.5,301.2,7010700,287.813,-0.034305867
2015/12/2,315.7,316.3,309.5,311.9,4732500,298.038,-0.009212198
2015/12/1,313.1,318.3,311.9,314.8,5760500,300.809,-0.014402004
2015/11/30,326.5,334.8,318.8,319.4,9048400,305.204,-0.045997611
2015/11/27,340,340.8,334.7,334.8,2720100,319.92,-0.025327511
2015/11/26,343,347.8,341.2,343.5,1643400,328.233,0.001457726
2015/11/25,336,343.6,335.2,343,2330200,327.756,0.025411061
2015/11/24,340.7,342.4,333.8,334.5,2959700,319.633,-0.019349164
2015/11/23,341.5,342.9,338.7,341.1,2713900,325.94,-0.012163336
2015/11/20,340,347.1,338.5,345.3,3582500,329.953,0.018884627
2015/11/19,338.7,343.5,336,338.9,3094500,323.838,0.005041518
2015/11/18,331,339.9,328.3,337.2,3242400,322.213,0.01719457
2015/11/17,324.6,332,323,331.5,2477600,316.767,0.032388664
2015/11/16,321.8,326.1,319,321.1,3231500,306.829,-0.008032129
2015/11/13,333.3,333.8,319.5,323.7,3777400,309.313,-0.034595884
2015/11/12,338.9,341.5,333.1,335.3,3622800,320.398,-0.012371134
2015/11/11,345,345.2,337.5,339.5,3703200,324.411,-0.015942029
2015/11/10,355.5,355.525,343.5,345,3244800,329.667,-0.025148347
2015/11/9,351,361.7,349.3,353.9,4781500,338.171,0.018124281
2015/11/6,349.9,351.8,345.44,347.6,3911300,332.151,-0.005436338
2015/11/5,364.3,364.65,348.6,349.5,3788200,333.967,-0.041152263
2015/11/4,355.3,372.8,354.6,364.5,4751500,348.3,0.024164091
2015/11/3,348.7,355.9,345.9,355.9,3374400,340.082,0.030101302
2015/11/2,346.4,347.12,343.56,345.5,2551800,330.144,-0.003461206
2015/10/30,349.1,350.6,345.1,346.7,4088600,331.291,-0.009428571
2015/10/29,355,358.3,348,350,3267300,334.444,-0.0234375
2015/10/28,353.8,359,351.8,358.4,3483300,342.471,0.009577465
2015/10/27,361,361.7,355,355,4374300,339.222,-0.018523638
2015/10/26,376,376.6,358.85,361.7,9208600,345.624,0.029311326
2015/10/23,339,354.8,338.3,351.4,4341400,335.782,0.040876777
2015/10/22,333.1,338.8,330,337.6,2623200,322.596,0.013509457
