Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,829.5,834.5,810,825,2680400,825,-0.003623188
2016/2/8,898,899,823.5,828,2917900,828,-0.075892857
2016/2/5,901.5,912,887.5,896,3241400,896,-0.003337041
2016/2/4,890,908.5,871,899,2477500,899,0.023917995
2016/2/3,882,890,863.732,878,2499000,878,-0.010704225
2016/2/2,888.5,891,875.5,887.5,3800200,887.5,-0.006715165
2016/2/1,906,910,884,893.5,3349200,893.5,-0.006117909
2016/1/29,898.5,912.5,885.5,899,4714700,899,0.01011236
2016/1/28,900,920.5,883,890,7967700,890,-0.077720207
2016/1/27,963,977.78,954.5,965,1911000,965,0.001037344
2016/1/26,956,970,953,964,2645500,964,-0.006185567
2016/1/25,997,997,968.5,970,2741600,970,-0.02020202
2016/1/22,973,993.5,971,990,2816600,990,0.034482759
2016/1/21,942.5,957,927.5,957,2488000,957,0.026273458
2016/1/20,946.5,954,925.808,932.5,2841800,932.5,-0.036673554
2016/1/19,969.5,980,959.943,968,1372600,968,0.018947368
2016/1/18,967.5,980,949.484,950,1762400,950,-0.010416667
2016/1/15,994,1003,954.36,960,4136800,960,-0.037111334
2016/1/14,1024,1027,990.5,997,2803200,997,-0.044103547
2016/1/13,1037,1056,1030,1043,2010700,1039,0.016569201
2016/1/12,1023,1043,1016,1026,1630600,1022.065,0.005882353
2016/1/11,1017,1032.88,1014,1020,1498100,1016.088,-0.000979432
2016/1/8,1052,1052,1016,1021,2687800,1017.084,-0.024832856
2016/1/7,1041,1051,1009,1047,2559000,1042.985,-0.018744142
2016/1/6,1092,1098.6,1054,1067,1955900,1062.908,-0.012037037
2016/1/5,1090,1103.44,1080,1080,1249100,1075.858,0
2016/1/4,1102,1106,1077,1080,2993500,1075.858,-0.034852547
2015/12/31,1118,1124,1112,1119,452900,1114.709,-0.005333333
2015/12/30,1127,1130,1119,1125,929300,1120.686,-0.002659574
2015/12/29,1121,1134,1116,1128,1159700,1123.674,0.014388489
2015/12/24,1119,1124,1112,1112,326000,1107.735,-0.008912656
2015/12/23,1098,1127,1098,1122,1199100,1117.697,0.02559415
2015/12/22,1107,1109,1085,1094,1060400,1089.804,-0.000913242
2015/12/21,1104,1109,1086,1095,1612900,1090.801,-0.013513514
2015/12/18,1123,1123,1102,1110,3096300,1105.743,-0.015084295
2015/12/17,1140,1155,1127,1127,2258900,1122.678,0.00625
2015/12/16,1101,1129.8,1101,1120,3451600,1115.705,0.018181818
2015/12/15,1085,1105,1078,1100,1701700,1095.781,0.021355617
2015/12/14,1086,1104,1067,1077,2043500,1072.87,-0.010110294
2015/12/11,1101,1114,1088,1088,2579600,1083.827,-0.011807448
2015/12/10,1118,1128,1101,1101,2452800,1096.778,-0.016964286
2015/12/9,1080,1128,1080,1120,4869500,1115.705,0.086323957
2015/12/8,1047,1052,1026,1031,2461000,1027.046,-0.020892688
2015/12/7,1061,1074,1047,1053,2090800,1048.962,0.00095057
2015/12/4,1046,1058,1037,1052,2101000,1047.965,0.000951475
2015/12/3,1090,1091,1048.28,1051,2932700,1046.969,-0.049728752
2015/12/2,1107,1115,1092,1106,1625600,1101.758,0.005454545
2015/12/1,1102,1106,1087,1100,1478500,1095.781,0.00456621
2015/11/30,1080,1101.28,1077,1095,1557700,1090.801,0.010147601
2015/11/27,1077,1091,1076,1084,1271000,1079.843,0.003703704
2015/11/26,1060,1081,1057,1080,1037700,1075.858,0.017907634
2015/11/25,1038,1065,1032,1061,1077400,1056.931,0.028100775
2015/11/24,1056,1056,1024,1032,1681800,1028.042,-0.024574669
2015/11/23,1051,1066,1046,1058,1263000,1053.942,-0.001886792
2015/11/20,1057,1060,1039,1060,1546100,1055.935,0.007604563
2015/11/19,1042,1064,1037,1052,2495100,1047.965,0.020368574
2015/11/18,1018,1033,1008,1031,1168000,1027.046,0.009794319
2015/11/17,995.5,1021,993.5,1021,1675800,1017.084,0.030792529
2015/11/16,975,991,971.98,990.5,1020200,986.701,0.007117438
2015/11/13,985,986,973,983.5,1071900,979.728,-0.006565657
2015/11/12,1011,1012,988.5,990,1422000,986.203,-0.020771513
2015/11/11,1004,1016,1000,1011,1164700,1007.123,0.011505753
2015/11/10,1022,1022.08,988.5,999.5,1549200,995.667,-0.016240157
2015/11/9,1021,1040,1015,1016,4328200,1012.104,-0.000983284
2015/11/6,1015,1023,1009,1017,1698900,1013.1,0
2015/11/5,1030,1033,1015,1017,1826700,1013.1,-0.017391304
2015/11/4,1042,1048,1033,1035,1237700,1031.031,-0.00192864
2015/11/3,1024,1041,1019,1037,1597600,1033.023,0.014677104
2015/11/2,994.5,1022,993.72,1022,1415800,1018.081,0.022
2015/10/30,992.5,1003.28,991,1000,1135000,996.165,0.011122346
2015/10/29,1004,1006,984,989,912900,985.207,-0.012974052
2015/10/28,984,1002,978,1002,934800,998.157,0.020886398
2015/10/27,1003,1003,981.5,981.5,1228900,977.736,-0.016533066
2015/10/26,1010,1016,995.5,998,718000,994.173,-0.013833992
2015/10/23,995.5,1022,990,1012,2250800,1008.119,0.025329281
2015/10/22,960,990,960,987,2954800,983.215,0.038947368
2015/10/21,944.5,963.88,936,950,2524100,946.357,0.009564293
2015/10/20,936,947,922.5,941,1946400,937.391,0.003198294
2015/10/19,946.5,952.176,927,938,1762700,934.403,-0.012111638
2015/10/16,973,975.5,944,949.5,1942100,945.859,-0.0155521
2015/10/15,983,983.308,959,964.5,2532300,960.801,-0.014811032
2015/10/14,989.5,1000,978.5,979,1855400,975.245,-0.017068273
2015/10/13,1012,1014,990,996,1831900,992.18,-0.014836795
2015/10/12,1042,1042,1010.78,1011,1748700,1007.123,-0.032535885
