Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,431.1,439.1,406.2,410.9,6451900,410.9,-0.093736215
2016/2/8,449.4,456.7,426,453.4,6577100,453.4,0.015908582
2016/2/5,427.9,449.9,417.2,446.3,6339800,446.3,0.03718336
2016/2/4,391,445.1,389.5,430.3,7057100,430.3,0.145633653
2016/2/3,365.7,379,361.1,375.6,4416300,375.6,0.027633379
2016/2/2,372.2,373.6,359.3,365.5,4444900,365.5,-0.022727273
2016/2/1,380,383,364.7,374,3797300,374,-0.016307207
2016/1/29,391,391.9,364.3,380.2,4370200,380.2,-0.009895833
2016/1/28,376.8,393.1,374,384,6120000,384,0.022908897
2016/1/27,369.1,376.7,358,375.4,5135100,375.4,-0.006878307
2016/1/26,353.5,381.4,350.4,378,5392400,378,0.040748899
2016/1/25,374.3,374.404,359.6,363.2,4368700,363.2,-0.024180548
2016/1/22,399,399.2,369.2,372.2,6607200,372.2,0.018609743
2016/1/21,345.8,366,343.4,365.4,3200300,365.4,0.05576423
2016/1/20,344.5,354.2,340.6,346.1,4000900,346.1,-0.026441632
2016/1/19,358.9,370,352.2,355.5,4425800,355.5,0.015714286
2016/1/18,350.6,356.6,343.1,350,4101800,350,-0.001711352
2016/1/15,367.5,368.6,348.6,350.6,4336300,350.6,-0.059801555
2016/1/14,367.3,379.688,354.4,372.9,8836400,372.9,0.011117137
2016/1/13,380,386,366.8,368.8,3773500,368.8,-0.014167335
2016/1/12,383,397.9,372.5,374.1,5349200,374.1,-0.035078669
2016/1/11,394,405.5,380.361,387.7,4114600,387.7,-0.026613106
2016/1/8,408.1,418.9,396.9,398.3,2704400,398.3,-0.029956162
2016/1/7,417.1,417.9,402.4,410.6,3810500,410.6,-0.053262624
2016/1/6,442.3,442.3,423.1,433.7,2261400,433.7,-0.02692394
2016/1/5,452.5,458.3,438.1,445.7,2319100,445.7,0
2016/1/4,460,460,443.1,445.7,2330700,445.7,-0.050287662
2015/12/31,466.9,471.2,465.3,469.3,568300,469.3,-0.005930947
2015/12/30,457.3,475.4,457.3,472.1,2395300,472.1,0.024744953
2015/12/29,459.8,460.7,449.3,460.7,2077900,460.7,-0.00410722
2015/12/24,473.9,473.9,458.3,462.6,425900,462.6,-0.00107968
2015/12/23,455.2,466.8,455,463.1,2514800,463.1,0.040674157
2015/12/22,429.3,445.5,424,445,2855600,445,0.046566322
2015/12/21,414.1,432.5,412.8,425.2,3378900,425.2,0.021378813
2015/12/18,410.3,421.7,409.4,416.3,3392300,416.3,0.00313253
2015/12/17,427.4,431.5,413.4,415,3117000,415,-0.006463969
2015/12/16,413.5,426.4,412.2,417.7,3382900,417.7,0.011625091
2015/12/15,418.4,420.8,411.3,412.9,3409100,412.9,0.001455251
2015/12/14,431.1,434.9,408.9,412.3,2948900,412.3,-0.038703661
2015/12/11,448.1,456.9,426.4,428.9,3316800,428.9,-0.038340807
2015/12/10,445.1,459.7,441,446,2252600,446,-0.001343484
