Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,925,952,924.5,940,6625100,934.113,0.02173913
2016/2/8,981.5,982,919,920,7545900,914.238,-0.064089522
2016/2/5,1005,1009.15,980.5,983,3655000,976.844,-0.017982018
2016/2/4,994,1012,981,1001,3867600,994.731,0.014698429
2016/2/3,995.5,1023,978.5,986.5,5354100,980.322,0.005606524
2016/2/2,1003,1005,978,981,3089900,974.856,-0.029673591
2016/2/1,1007,1013,997,1011,3050500,1004.669,0.018126888
2016/1/29,952,993,948.831,993,5790000,986.781,0.041426324
2016/1/28,989,990.5,952,953.5,4035400,947.529,-0.042189854
2016/1/27,1005,1007,986.5,995.5,4891700,989.266,-0.019211823
2016/1/26,999,1020,992.5,1015,2680000,1008.644,0.004950495
2016/1/25,1007,1026,1003,1010,4880700,1003.675,0.014565545
2016/1/22,986.5,1003,980,995.5,2758600,989.266,0.028940568
2016/1/21,955,969.5,947,967.5,3438400,961.441,0.02056962
2016/1/20,949,955.5,932.388,948,4244100,942.063,-0.01659751
2016/1/19,970,974.5,949.195,964,5676300,957.963,0.015806112
2016/1/18,930,955.5,930,949,2435200,943.057,0.017148982
2016/1/15,960,971.5,926.5,933,5397000,927.157,-0.029136316
2016/1/14,970.5,971,949.5,961,3727400,954.982,-0.022380468
2016/1/13,992.5,996,977.5,983,4041500,976.844,0.003061224
2016/1/12,961.5,986.5,956,980,4638200,973.863,0.028331584
2016/1/11,943,962.5,941,953,3523000,947.032,0.010068892
2016/1/8,963.5,967,943.5,943.5,4711900,937.591,-0.025309917
2016/1/7,955,972.5,939,968,4307300,961.938,-0.006160164
2016/1/6,982,984,962.5,974,6146500,967.9,-0.029880478
2016/1/5,1010,1015.4,992,1004,3213600,997.712,0
2016/1/4,1015,1019.14,996,1004,4119700,997.712,-0.033686237
2015/12/31,1045,1051.71,1039,1039,448200,1032.493,-0.006692161
2015/12/30,1046,1054,1042,1046,1228400,1039.449,-0.003809524
2015/12/29,1047,1052.52,1032,1050,1768700,1043.424,0.011560694
2015/12/28,1038,1038,1038,1038,0,1031.499,0
2015/12/25,1038,1038,1038,1038,0,1031.499,0
2015/12/24,1042,1045,1033,1038,205700,1031.499,-0.005747126
2015/12/23,1039,1052.55,1035,1044,1855600,1037.462,0.013592233
2015/12/22,1037,1041,1022,1030,2006400,1023.55,0.005859375
2015/12/21,1018,1041.46,1018,1024,2151600,1017.587,0.004906771
2015/12/18,1020,1030,1012.3,1019,4754800,1012.618,-0.020192308
2015/12/17,1034,1051,1034,1040,3734700,1033.487,0.018609207
2015/12/16,1055,1055.85,1014,1021,5267200,1014.606,-0.029467681
2015/12/15,1035,1054,1009.9,1052,5591200,1045.412,0.010566763
2015/12/14,1070,1073,1041,1041,3930100,1034.481,-0.030726257
2015/12/11,1082,1088.4,1074,1074,2534500,1067.274,-0.011959522
2015/12/10,1085,1100,1082,1087,2587800,1080.193,-0.006398537
2015/12/9,1103,1111.63,1094,1094,3539300,1087.149,-0.000913242
2015/12/8,1100,1106.03,1090,1095,4080300,1088.143,-0.006352087
2015/12/7,1119,1126.66,1099,1102,2845500,1095.099,-0.012544803
2015/12/4,1119,1120.4,1098,1116,2867900,1109.011,-0.005347594
2015/12/3,1134,1140.36,1118,1122,4101700,1114.973,-0.011453744
2015/12/2,1121,1140,1121,1135,2626600,1127.892,0.003536693
2015/12/1,1127,1136.69,1121,1131,2733800,1123.917,0.006227758
2015/11/30,1115,1124,1110,1124,3701400,1116.961,0.006266786
2015/11/27,1112,1119,1099.57,1117,1783600,1110.005,-0.00178731
2015/11/26,1107,1126,1104,1119,1810100,1111.992,0.012669683
2015/11/25,1090,1105,1090,1105,2367000,1098.08,0.019372694
2015/11/24,1084,1088,1069,1084,2914900,1077.211,0
2015/11/23,1082,1089,1073,1084,1997200,1077.211,-0.003676471
2015/11/20,1080,1091,1071,1088,3169200,1081.186,0.003690037
2015/11/19,1076,1094,1071,1084,3989700,1077.211,0.016885553
2015/11/18,1053,1066,1049.28,1066,1784100,1059.324,0.01042654
2015/11/17,1048,1061,1045,1055,2065400,1048.393,0.013448607
2015/11/16,1023,1044,1023,1041,2377900,1034.481,0.004826255
2015/11/13,1045,1047,1029,1036,2274600,1029.512,-0.014272122
2015/11/12,1056,1056.08,1043,1051,2711300,1044.418,-0.001899335
2015/11/11,1048,1061.7,1031.9,1053,1902300,1046.406,0.006692161
2015/11/10,1067,1069,1030,1046,3391500,1039.449,-0.011342155
2015/11/9,1063,1070,1055,1058,1581400,1051.374,-0.005639098
2015/11/6,1047,1064,1045,1064,2879300,1057.337,0.016236867
2015/11/5,1050,1068,1035,1047,3342700,1040.443,-0.001906578
2015/11/4,1043,1049,1036,1049,2920600,1042.431,0.008653846
2015/11/3,1027,1040,1027,1040,2402200,1033.487,0.007751938
2015/11/2,1017,1036,1002.45,1032,2355000,1025.537,0.006829268
2015/10/30,1040,1045,1020,1025,2677800,1018.581,-0.007744434
2015/10/29,1054,1060,1027,1033,3659500,1026.531,-0.019924099
2015/10/28,1040,1064,1033,1054,3378500,1047.399,0.013461538
2015/10/27,1052,1053,1039.85,1040,3985500,1033.487,-0.010466223
2015/10/26,1070,1074,1047,1051,3460900,1044.418,-0.020503262
2015/10/23,1047,1084,1041,1073,6309300,1066.28,0.034715526
2015/10/22,1000,1043,1000,1037,5092000,1030.506,0.010721248
2015/10/21,1015,1057,1004,1026,7655100,1019.575,0.065420561
2015/10/20,978,979.5,963,963,3169400,956.969,-0.012813942
2015/10/19,972,984.5,965.5,975.5,3008400,969.391,0.000512821
2015/10/16,978.5,1332.5,967,975,3432800,968.894,-0.004594181
2015/10/15,953.5,992,952,979.5,6196300,973.366,0.049839228
2015/10/14,935.5,946.5,932.5,933,3877100,927.157,-0.014783527
2015/10/13,958,959,946.5,947,2548400,941.069,-0.010449321
2015/10/12,958,965.1,952.5,957,3750000,951.007,-0.003125
2015/10/9,960.5,965.5,953.5,960,3287600,953.988,0.006289308
2015/10/8,945,957,941,954,3895400,948.026,0.017057569
2015/10/7,958,961,937,938,5148600,932.126,-0.004246285
2015/10/6,952.5,952.5,934,942,6349000,936.101,-0.021806854
2015/10/5,951,965.85,949.2,963,4169900,956.969,0.029946524
2015/10/2,943,955,925.221,935,4450100,929.145,-0.000534474
2015/10/1,970,970,928.5,935.5,3536800,929.641,-0.012664908
2015/9/30,938.5,951.5,932.5,947.5,6584300,941.566,0.03101197
2015/9/29,919.5,927,901.5,919,8646600,913.245,-0.022340426
2015/9/28,975.5,975.7,933,940,5185300,934.113,-0.042769857
2015/9/25,945,994.5,944,982,4268000,975.85,0.05990286
2015/9/24,934.5,945,921.5,926.5,4205500,920.698,-0.010678057
2015/9/23,931.5,944,916,936.5,3576100,930.635,0.007530931
2015/9/22,952,954.5,929,929.5,3532600,923.679,-0.023634454
2015/9/21,954.5,962.5,952,952,3503100,946.038,-0.008849558
2015/9/18,957.5,965.5,945,960.5,5801500,954.485,0
2015/9/17,975,978.1,959.5,960.5,2794400,954.485,-0.013353878
2015/9/16,981.5,987,965.5,973.5,6063100,967.403,-0.007139215
2015/9/15,946.5,984,940,980.5,5528000,974.36,0.0342827
2015/9/14,938.5,971,936.34,948,4653900,942.063,0.014989293
2015/9/11,953,959,934,934,3914200,928.151,-0.016842105
2015/9/10,941.5,955.5,937,950,4602100,944.051,-0.002624672
2015/9/9,973.5,977.5,947,952.5,3371000,946.535,-0.007295466
2015/9/8,958,969.5,934.61,959.5,3556200,953.491,0.006820567
2015/9/7,942.5,955.5,937,953,3253800,947.032,0.010068892
2015/9/4,940,950.5,932.5,943.5,5310900,937.591,-0.006842105
2015/9/3,930,953,930,950,5862100,944.051,0.030927835
2015/9/2,920,942.5,918.5,921.5,4961600,912.599,0.008757526
2015/9/1,902.5,920,898.775,913.5,8459100,904.676,-0.021424746
2015/8/31,933.5,933.5,933.5,933.5,0,924.483,0
2015/8/28,920,935.14,915.5,933.5,6724800,924.483,0.016884532
2015/8/27,897,926.5,893,918,9051800,909.133,0.049142857
2015/8/26,863,911,863,875,12046300,866.548,-0.022892239
2015/8/25,860,911.5,856.711,895.5,11083000,886.85,0.055391868
2015/8/24,825.5,858,812,848.5,10168800,840.304,-0.018507808
2015/8/21,875,884,862.5,864.5,6190300,856.149,-0.036231884
2015/8/20,892,905.075,887,897,6262200,888.335,0.002794857
2015/8/19,908,913.82,894.41,894.5,4527000,885.86,-0.020799124
2015/8/18,923,929,908.5,913.5,4760800,904.676,-0.006525285
2015/8/17,913,921.5,902,919.5,4183200,910.618,0.014900662
2015/8/14,942,945,903.5,906,9683900,897.249,-0.013609145
2015/8/13,933.5,947.5,917.5,918.5,6954200,909.628,0.002729258
2015/8/12,949.5,961.028,913.475,916,7176800,907.152,-0.045336113
2015/8/11,955,968,949.854,959.5,5800400,950.232,0.007878151
2015/8/10,958.5,961,938.5,952,4406700,942.804,0.001051525
2015/8/7,954.5,960.5,946.5,951,3318900,941.814,0.003693931
2015/8/6,953,965.5,947,947.5,5620300,938.348,-0.010443864
2015/8/5,947,961,938.295,957.5,7065200,948.251,0.009488666
2015/8/4,983.5,985.5,945,948.5,8610000,939.338,-0.045294414
2015/8/3,1003,1008,991,993.5,4008100,983.903,-0.013406157
2015/7/31,1017,1017,1002,1007,5868500,997.273,-0.003956479
2015/7/30,997,1012,986.5,1011,5370100,1001.234,0.021212121
2015/7/29,993.5,1003,985.5,990,5699600,980.437,0.003039514
2015/7/28,1000,1001,973,987,7587600,977.466,-0.008538423
