Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,3922.5,3979,3821.34,3914.5,5018100,3786.588,0.002176139
2016/2/8,4126,4130.5,3901.5,3906,6369900,3778.366,-0.049519406
2016/2/5,4155,4236.85,4096,4109.5,4912700,3975.216,-0.008085928
2016/2/4,4354,4367.5,4053,4143,6036300,4007.621,-0.060970082
2016/2/3,4473.5,4519,4395.5,4412,3498000,4267.831,-0.019337631
2016/2/2,4495.5,4536.8,4472,4499,2567700,4351.989,-0.001110124
2016/2/1,4506.5,4541.5,4414.5,4504,2679100,4356.825,0.00367688
2016/1/29,4385,4487.5,4370.5,4487.5,3094800,4340.864,0.032321141
2016/1/28,4444,4470.16,4295,4347,3367700,4204.955,-0.028169014
2016/1/27,4420,4473,4387.5,4473,2262400,4326.838,0.013022308
2016/1/26,4321.5,4426.5,4321.5,4415.5,2551900,4271.217,-0.005629997
2016/1/25,4379,4454.5,4375.64,4440.5,2066900,4295.4,0.01834652
2016/1/22,4326,4395,4303,4360.5,2750500,4218.014,0.020835772
2016/1/21,4300,4338,4243.5,4271.5,3290900,4131.923,0.008499587
2016/1/20,4236,4259,4190,4235.5,2606900,4097.099,-0.017855072
2016/1/19,4289,4340.5,4244.98,4312.5,2047200,4171.583,0.024225151
2016/1/18,4216.5,4283,4204.5,4210.5,1378200,4072.916,-0.004609929
2016/1/15,4320.5,4341,4181.5,4230,2934500,4091.779,-0.021512838
2016/1/14,4343,4345.5,4249.5,4323,2123000,4181.74,-0.016717844
2016/1/13,4375,4427.5,4359.25,4396.5,1767000,4252.838,0.016766883
2016/1/12,4270.5,4361.5,4255.5,4324,2382400,4182.707,0.016096816
2016/1/11,4336,4348,4255.5,4255.5,2126200,4116.445,-0.021499195
2016/1/8,4424,4475.3,4349,4349,2210500,4206.89,-0.007304268
2016/1/7,4446.5,4538,4361,4381,3841900,4237.844,-0.031288004
2016/1/6,4556,4573.5,4469.5,4522.5,1975300,4374.721,-0.008658483
2016/1/5,4521,4577,4457,4562,2333900,4412.93,0.018758374
2016/1/4,4565,4568,4463.5,4478,2243100,4331.675,-0.030001083
2015/12/31,4589,4627.5,4589,4616.5,402200,4465.649,0.000108319
2015/12/30,4616,4634,4598.5,4616,1093600,4465.165,-0.002485143
2015/12/29,4580,4627.5,4509.5,4627.5,1232300,4476.29,0.019273128
2015/12/28,4540,4540,4540,4540,0,4391.649,0
2015/12/25,4540,4540,4540,4540,0,4391.649,0
2015/12/24,4487.5,4552.5,4487.5,4540,390200,4391.649,0.005982717
2015/12/23,4432,4540.7,4430.5,4513,1760600,4365.531,0.026031602
2015/12/22,4396,4407,4335,4398.5,2249900,4254.773,0.008021084
2015/12/21,4372,4435,4328.12,4363.5,1566300,4220.916,-0.001830035
2015/12/18,4420,4433,4365.5,4371.5,4907100,4228.655,-0.014095625
2015/12/17,4500,4519.5,4429.5,4434,2370800,4289.113,0.003962414
2015/12/16,4381,4448,4366.88,4416.5,2006900,4272.184,0.005807333
2015/12/15,4324,4412,4300.13,4391,2110200,4247.518,0.024617898
2015/12/14,4339.5,4367.5,4280,4285.5,2863000,4145.465,-0.010277136
2015/12/11,4377.5,4400.5,4325,4330,2436500,4188.511,-0.01130266
2015/12/10,4402.5,4411.5,4374.5,4379.5,1571400,4236.393,-0.005563124
2015/12/9,4454.5,4461.5,4404,4404,1708700,4260.093,-0.007772896
2015/12/8,4483,4516.5,4422.19,4438.5,1882200,4293.466,-0.010036802
2015/12/7,4437.5,4534,4437.5,4483.5,1725500,4336.995,0.009342638
2015/12/4,4451,4459.5,4408.04,4442,1957900,4296.851,-0.006263982
2015/12/3,4593,4622,4468.5,4470,2760100,4323.936,-0.024549918
2015/12/2,4565.5,4627.5,4555,4582.5,2372400,4432.76,0.014837781
2015/12/1,4526.5,4583.44,4500.5,4515.5,1904300,4367.949,0.002887285
2015/11/30,4504,4532,4496.5,4502.5,2287400,4355.374,-0.002216066
2015/11/27,4500,4525.5,4482,4512.5,1584800,4365.047,-0.001659292
2015/11/26,4500,4541,4485.5,4520,1262800,4372.302,0.004444444
2015/11/25,4488,4505,4454.5,4500,1749200,4352.956,0.008177439
2015/11/24,4468.5,4480.5,4440.5,4463.5,1945800,4317.649,-0.005015604
2015/11/23,4491,4515,4469.5,4486,1616700,4339.413,-0.003000333
2015/11/20,4450,4500.03,4433,4499.5,2344100,4352.472,0.016032517
2015/11/19,4414,4467,4405.53,4428.5,2207800,4283.792,0.004422772
2015/11/18,4393,4410,4324,4409,2126900,4264.929,0.002729134
2015/11/17,4300,4397,4278.5,4397,2986300,4253.322,0.032644434
2015/11/16,4056.5,4271.5,4050.44,4258,3365700,4118.864,0.040058622
2015/11/13,4057,4098,3999.54,4094,2581600,3960.223,0.004662577
2015/11/12,4192,4192,4075,4075,1995800,3941.843,-0.030223703
2015/11/11,4183.5,4219,4140.5,4202,1438000,4064.694,0.011068335
2015/11/10,4160.5,4180,4144.5,4156,1817900,4020.197,-0.000601178
2015/11/9,4220.5,4234,4152,4158.5,1531000,4022.615,-0.015972551
2015/11/6,4260,4261,4120.75,4226,2317900,4087.909,-0.004944667
2015/11/5,4215.5,4314,4204.5,4247,3036200,4108.223,0.02895215
2015/11/4,4171,4203,4116,4127.5,1669000,3992.628,-0.008408408
2015/11/3,4185,4190.72,4148,4162.5,1678000,4026.484,0.001564004
2015/11/2,4117,4157.5,4096,4156,1542400,4020.197,0.001325142
2015/10/30,4187.5,4210.5,4136.5,4150.5,1719200,4014.876,-0.010961516
2015/10/29,4163.5,4288.22,4142.5,4196.5,1993500,4059.373,0.004067472
2015/10/28,4089.5,4199,4081.5,4179.5,2314800,4042.929,0.025644172
2015/10/27,4075.5,4109,4039,4075,1650000,3941.843,-0.004032751
2015/10/26,4086.5,4122.04,4064,4091.5,1432500,3957.804,0.00540607
2015/10/23,4042.5,4097.5,4005,4069.5,1706700,3936.523,0.014584892
2015/10/22,3975.5,4058.29,3950.5,4011,2738800,3879.935,0.016214847
2015/10/21,4014,4014,3931.25,3947,2854300,3818.026,-0.019257051
2015/10/20,4141,4162.5,4021,4024.5,2689000,3892.994,-0.031757488
2015/10/19,4130.5,4182,4130.5,4156.5,1470000,4020.68,0.002532562
2015/10/16,4092,4152,4042,4146,2543600,4010.523,0.006066489
2015/10/15,4080.5,4130.5,4073,4121,1749400,3986.34,0.015274698
2015/10/14,4107,4109.2,4052.5,4059,2083900,3926.366,-0.019091348
2015/10/13,4175.5,4187.5,4076.24,4138,1770900,4002.785,-0.009218245
2015/10/12,4199,4206.5,4154,4176.5,1147100,4040.027,-0.007839411
2015/10/9,4208,4221.16,4133,4209.5,1802800,4071.948,0.011777431
2015/10/8,4111.5,4198,4105.96,4160.5,2166400,4024.55,0.011794747
2015/10/7,4200,4201,4090.5,4112,4042400,3977.634,-0.021185432
2015/10/6,4261.5,4270.59,4196.5,4201,1915900,4063.726,-0.010947616
2015/10/5,4228,4263,4193.5,4247.5,2195100,4108.707,0.019073896
2015/10/2,4195,4229.5,4098,4168,1702800,4031.805,0.001682288
2015/10/1,4234,4269.2,4150,4161,1782000,4025.033,-0.004902547
2015/9/30,4184,4214,4161.5,4181.5,2567000,4044.863,0.012592324
2015/9/29,4131.5,4169,4087,4129.5,2251300,3994.563,-0.01208134
2015/9/28,4305,4351,4178.5,4180,2810700,4043.412,-0.034642032
2015/9/25,4254.5,4342,4253.7,4330,2036800,4188.511,0.029481693
2015/9/24,4222,4240,4194.5,4206,2671700,4068.563,-0.004261364
2015/9/23,4160.5,4245.5,4160.5,4224,1907900,4085.975,0.014043932
2015/9/22,4316.5,4320,4165.5,4165.5,3008400,4029.386,-0.048755424
2015/9/21,4369,4450.7,4347.5,4379,2350200,4235.91,0.002059497
2015/9/18,4310,4387.71,4243,4370,4737800,4227.204,0.023299379
2015/9/17,4333.5,4343.5,4262.5,4270.5,1806600,4130.955,-0.012144344
2015/9/16,4343.5,4361.1,4306,4323,2364000,4181.74,-0.001155268
2015/9/15,4275.5,4346.5,4246.5,4328,2960300,4186.576,0.010152877
2015/9/14,4311,4373.11,4284.5,4284.5,1956400,4144.498,-0.000233345
2015/9/11,4296,4315.5,4274.5,4285.5,1725300,4145.465,-0.001165365
2015/9/10,4240.5,4331.11,4231.86,4290.5,2310400,4150.302,0.00527179
2015/9/9,4335,4335,4252.5,4268,2347300,4128.537,0.002937375
2015/9/8,4234,4299.43,4230.98,4255.5,1804900,4116.445,0.008651339
2015/9/7,4214,4238.5,4206,4219,1032200,4081.138,0.008968074
2015/9/4,4227,4280,4120.14,4181.5,3297100,4044.863,-0.015538552
2015/9/3,4169.5,4279.56,4161.5,4247.5,3322800,4108.707,0.031697838
2015/9/2,4053,4161,4039.5,4117,2985800,3982.471,0.020701624
2015/9/1,4100.5,4112.5,3994,4033.5,3172700,3901.7,-0.020995146
2015/8/31,4120,4120,4120,4120,0,3985.373,0
2015/8/28,4088.5,4156.38,4036.5,4120,2312400,3985.373,0.008814887
2015/8/27,4018.5,4090,3983,4084,3000000,3950.549,0.041172721
2015/8/26,3904.5,4004,3861.5,3922.5,4641400,3794.327,-0.011964736
2015/8/25,3930,4009.5,3916,3970,3853600,3840.274,0.017035993
2015/8/24,3984.5,4052.57,3746,3903.5,5598200,3775.947,-0.037123828
2015/8/21,4130.5,4145,4035.58,4054,2587700,3921.53,-0.031417991
2015/8/20,4204,4227,4151.62,4185.5,1907500,4048.733,-0.012853774
2015/8/19,4294.5,4294.5,4231.5,4240,1710500,4101.452,-0.016241299
2015/8/18,4287,4333.98,4251,4310,2192000,4169.164,0.007480131
2015/8/17,4278,4292,4214,4278,1287600,4138.21,0.007180695
2015/8/14,4279.5,4336.5,4234.5,4247.5,1320900,4108.707,-0.006084006
2015/8/13,4277,4351,4256.5,4273.5,2125300,4133.857,-0.003497726
2015/8/12,4315.5,4339.53,4258,4288.5,2962300,4092.746,-0.012093988
2015/8/11,4345,4358.15,4314.5,4341,1728400,4142.849,-0.003900872
2015/8/10,4339,4362,4262,4358,2555600,4159.073,0.008679551
2015/8/7,4386.5,4396,4282.03,4320.5,2332800,4123.285,-0.020849858
2015/8/6,4422,4432,4383,4412.5,2400800,4211.086,-0.002712171
2015/8/5,4387.5,4429.5,4363,4424.5,2152800,4222.538,0.009007982
2015/8/4,4352,4394.5,4320.5,4385,2302000,4184.841,0.00990327
2015/8/3,4304,4345.5,4304,4342,1961200,4143.804,0.005092593
2015/7/31,4351,4351,4287,4320,2707300,4122.808,0.000115754
2015/7/30,4234,4331.5,4218.5,4319.5,3228600,4122.331,0.03066094
2015/7/29,4200,4234,4182,4191,2867100,3999.696,0.005035971
2015/7/28,4208.5,4283.2,4135.5,4170,2965500,3979.655,-0.004892018
2015/7/27,4240,4265.77,4173.48,4190.5,1577000,3999.219,-0.014811332
2015/7/24,4289.5,4315.5,4246,4253.5,1262600,4059.343,-0.009316409
2015/7/23,4331,4350,4265.5,4293.5,1447500,4097.518,0.002919879
2015/7/22,4305,4338.55,4269.65,4281,1766900,4085.588,-0.012570638
2015/7/21,4352,4369.5,4321.5,4335.5,1573800,4137.6,-0.002760207
2015/7/20,4328.5,4379,4324.38,4347.5,1413200,4149.053,0.007531866
2015/7/17,4320,4328,4278.5,4315,2836700,4118.036,-0.004957915
2015/7/16,4348,4387.45,4303,4336.5,1731500,4138.555,-0.001611604
2015/7/15,4350,4407.13,4320,4343.5,1713500,4145.235,-0.000345224
2015/7/14,4350.5,4414.76,4313,4345,2286100,4146.667,0.00323251
2015/7/13,4320,4376.57,4305,4331,2907400,4133.306,0.010853075
2015/7/10,4263,4285,4237.25,4284.5,2433400,4088.928,0.014803411
