Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,468.8,475.9,465.4,469.9,9391100,469.9,0.00513369
2016/2/8,481,481.8,465.4,467.5,8941400,467.5,-0.024008351
2016/2/5,489.8,490.6,477.7,479,11362600,479,-0.022049816
2016/2/4,491.7,493.3,481,489.8,7296700,489.8,0.007197203
2016/2/3,501,502,482,486.3,12033100,486.3,-0.029341317
2016/2/2,508,508,495.9,501,7431700,501,-0.015717092
2016/2/1,520,520,503.5,509,6903600,509,-0.013565891
2016/1/29,509.5,517,505.5,516,10289400,516,0.020771513
2016/1/28,507.5,512.5,503,505.5,10017900,505.5,-0.00295858
2016/1/27,505,507,498.7,507,10379700,507,0.008955224
2016/1/26,492.1,505,492,502.5,9503200,502.5,0.013513514
2016/1/25,496,498.3,491.1,495.8,5920400,495.8,0.006291861
2016/1/22,485,494.5,481.6,492.7,10254700,492.7,0.028171953
2016/1/21,489.7,492.1,477.7,479.2,16432800,479.2,-0.022040816
2016/1/20,497,497.5,487.2,490,11019900,490,-0.031620553
2016/1/19,509.5,512,500,506,10798800,506,-0.00589391
2016/1/18,512.5,519,507.5,509,6245700,509,-0.008763389
2016/1/15,519,524,509,513.5,11997300,513.5,-0.009643202
2016/1/14,519.5,520,512,518.5,8499600,518.5,-0.011439466
2016/1/13,524,527.5,520.488,524.5,14387900,524.5,0.005752637
2016/1/12,527.5,530.5,520,521.5,10389800,521.5,-0.009496676
2016/1/11,523.5,535.89,520,526.5,13037600,526.5,0.013474495
2016/1/8,510,534,507.5,519.5,15995300,519.5,0.027695351
2016/1/7,502,510,499.6,505.5,12108600,505.5,-0.013658537
2016/1/6,499.2,513.5,495.7,512.5,12583500,512.5,0.038500507
2016/1/5,496.1,499.1,487.7,493.5,3971900,493.5,0
2016/1/4,496.5,496.5,488.3,493.5,5657800,493.5,-0.012209768
2015/12/31,503,506,499.6,499.6,1078100,499.6,-0.011671612
2015/12/30,507.5,508.125,502.824,505.5,2370500,505.5,-0.00295858
2015/12/29,500.5,508,497.95,507,4504300,507,0.019505329
2015/12/24,501.5,501.5,491,497.3,797100,497.3,-0.003207056
2015/12/23,496.5,502.091,495.8,498.9,4025000,498.9,0.010737439
2015/12/22,496,507,486.4,493.6,4996500,493.6,0.000405351
2015/12/21,490.5,500,490.2,493.4,5525300,493.4,0.001827411
2015/12/18,492.1,501.5,490,492.5,11637100,492.5,-0.007656659
2015/12/17,498.5,499.3,494.7,496.3,5335900,496.3,0.00792039
2015/12/16,489.1,493.1,486.1,492.4,5673500,492.4,0.004897959
2015/12/15,487.2,493,485.1,490,5753700,490,0.013653289
2015/12/14,490.9,497.7,482.3,483.4,5090300,483.4,-0.014475025
2015/12/11,498.7,500,488.2,490.5,6561900,490.5,-0.016442751
2015/12/10,501,506,498.5,498.7,6784600,498.7,-0.006573705
2015/12/9,503,505,500,502,6366300,502,0
2015/12/8,508.5,509,500,502,6566600,502,-0.012782694
