Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,860,870,842.5,862.5,1042500,862.5,0.000580046
2016/2/8,906,909.5,860,862,1211400,862,-0.044875346
2016/2/5,892.5,913,891.5,902.5,1526700,902.5,0.015756894
2016/2/4,889.5,893,874.5,888.5,2752500,888.5,0.013690816
2016/2/3,890,892.5,865.5,876.5,1497100,876.5,-0.019026301
2016/2/2,911.5,913.5,887.5,893.5,1286300,893.5,-0.016510732
2016/2/1,920,920,901.5,908.5,2666900,908.5,-0.007103825
2016/1/29,919,922.5,910,915,1637000,915,0.004390779
2016/1/28,921.5,922,907.5,911,1073000,911,-0.014602488
2016/1/27,922.5,925.5,913.5,924.5,953800,924.5,0.004345464
2016/1/26,911.5,922,908.5,920.5,1323200,920.5,0.000543478
2016/1/25,936.5,937.5,916,920,903600,920,-0.014461703
2016/1/22,931,936.5,922,933.5,774800,933.5,0.019104803
2016/1/21,911,922,907,916,1424700,916,0.00770077
2016/1/20,930.5,932.5,904.5,909,978600,909,-0.042654028
2016/1/19,946.5,952.5,938.5,949.5,1246800,949.5,0.018230563
2016/1/18,945,953.5,930.634,932.5,1009600,932.5,-0.012705135
2016/1/15,974.5,981.5,941,944.5,1519900,944.5,-0.030785018
2016/1/14,984,987.25,962,974.5,1070000,974.5,-0.016649849
2016/1/13,973,1001,966.93,991,1273600,991,0.038239916
2016/1/12,946.5,967,941.5,954.5,727200,954.5,0.013269639
2016/1/11,949.5,957,941.5,942,843200,942,-0.011542497
2016/1/8,966.5,970.5,953,953,672000,953,-0.014477766
2016/1/7,952.5,979.5,946.22,967,1241600,967,-0.004119464
2016/1/6,983,985,960.5,971,754500,971,-0.019191919
2016/1/5,991,1002,979.5,990,578300,990,0
2016/1/4,1007,1011,986,990,785400,990,-0.025590551
2015/12/31,1016,1024,1013.78,1016,184700,1016,0.000985222
2015/12/30,1025,1037,1013,1015,480600,1015,-0.009756098
2015/12/29,1030,1036,1019,1025,653100,1025,0.001955034
2015/12/24,1027,1027,917,1023,67100,1023,0.002941176
2015/12/23,998,1023,998,1020,541800,1020,0.02926337
2015/12/22,992,993.5,978,991,652400,991,0.007113821
2015/12/21,978.5,994.5,973,984,786500,984,0.007680492
2015/12/18,987,995,974.5,976.5,1320300,976.5,-0.017605634
2015/12/17,1003,1009,994,994,897100,994,0.008625063
2015/12/16,984.5,995,982.5,985.5,865400,985.5,-0.001519757
2015/12/15,982.5,992.5,980.08,987,842300,987,0.011788826
2015/12/14,988,1004,975.012,975.5,937300,975.5,-0.01414856
2015/12/11,997,1002,985.5,989.5,1347600,989.5,-0.0105
2015/12/10,1001,1009,998,1000,949200,1000,-0.008919722
2015/12/9,1000,1017,999.5,1009,1042400,1002.95,0.00498008
2015/12/8,1034,1034,998.5,1004,1445800,997.98,-0.026188167
2015/12/7,1045,1051,1030,1031,588500,1024.818,-0.010556622
2015/12/4,1037,1049,1031,1042,751600,1035.752,0.001923077
2015/12/3,1059,1072,1038,1040,1202900,1033.764,-0.020715631
2015/12/2,1056,1070,1052,1062,1359100,1055.632,0.005681818
2015/12/1,1055,1057,1040,1056,2100700,1049.668,-0.014005602
2015/11/30,1083,1093,1071,1071,1378600,1064.578,-0.01199262
2015/11/27,1062,1087,1062,1084,1182000,1077.5,0.012138189
2015/11/26,1056,1076,1055,1071,1021200,1064.578,0.014204545
2015/11/25,1035,1061,1033,1056,1409800,1049.668,0.020289855
2015/11/24,1028,1059,1022.15,1035,2568200,1028.794,0.029850746
2015/11/23,994.5,1012,982,1005,1226000,998.974,0.016177958
2015/11/20,1001,1001,975,989,1450900,983.07,-0.011
2015/11/19,997.5,1005.26,993.5,1000,1078700,994.004,0.006036217
2015/11/18,975.5,994,972,994,1412400,988.04,0.015840572
2015/11/17,960,978.5,957.225,978.5,1366600,972.633,0.03
2015/11/16,947,958,943,950,848700,944.304,-0.00471451
2015/11/13,963.5,963.5,945.5,954.5,748800,948.777,-0.011393061
2015/11/12,979,982.5,964,965.5,1107700,959.711,-0.013789581
2015/11/11,962.5,980.5,960.5,979,729700,973.13,0.021387585
2015/11/10,970,970.077,952.485,958.5,871700,952.753,-0.005189414
2015/11/9,966.5,975.78,963,963.5,660200,957.723,-0.004134367
2015/11/6,974,974,961.5,967.5,1005800,961.699,-0.002062919
2015/11/5,984,985.16,969.5,969.5,1076500,963.687,-0.015736041
2015/11/4,972.5,989.5,972.5,985,746700,979.094,0.013374486
2015/11/3,968.5,974,963,972,513200,966.172,0.00621118
2015/11/2,961.5,972,959.44,966,569100,960.208,0.002074689
2015/10/30,960.5,966.34,957,964,782200,958.22,0.008368201
2015/10/29,965.5,970.5,955,956,1047500,950.268,-0.010351967
2015/10/28,960.5,969,953,966,1130900,960.208,0.008877285
2015/10/27,978.5,978.5,957.5,957.5,736800,951.759,-0.022959184
2015/10/26,992.5,1002,980,980,728300,974.124,-0.017051153
2015/10/23,980,1001,980,997,832800,991.022,0.020470829
2015/10/22,975.5,982,970.5,977,897800,971.142,-0.003569607
2015/10/21,971.5,988.5,970,980.5,651000,974.621,0.009783728
2015/10/20,971,975,963,971,598400,965.178,0.005175983
2015/10/19,969.5,977,963.5,966,426400,960.208,-0.009230769
2015/10/16,978,985,971,975,700800,969.154,0.000513084
2015/10/15,978,982.5,970,974.5,650700,968.657,0.001541624
2015/10/14,980,986.5,973,973,1769800,967.166,-0.012182741
2015/10/13,980,989.5,980,985,1507300,979.094,0.002544529
2015/10/12,982.5,994.781,980.5,982.5,824300,976.609,-0.000508647
2015/10/9,963,988.5,956.5,983,1484900,977.106,0.032563025
2015/10/8,957,958,948.5,952,770400,946.292,-0.0041841
2015/10/7,963,969,953,956,792300,950.268,-0.004166667
2015/10/6,965,965,951,960,635900,954.244,-0.001040583
2015/10/5,950.5,963.5,948,961,837100,955.238,0.025066667
2015/10/2,930,940,925.5,937.5,1233100,931.879,0.017362995
2015/10/1,924,927.5,916,921.5,1190400,915.975,0.009863014
2015/9/30,906,913.842,901,912.5,882100,907.029,0.023555805
2015/9/29,885,903.5,884,891.5,914600,886.155,-0.003353829
2015/9/28,912.5,915.5,892,894.5,863900,889.137,-0.024004364
2015/9/25,905.5,921.5,904.5,916.5,1079800,911.005,0.025167785
2015/9/24,889.5,900.5,889,894,1639900,888.64,0.003367003
2015/9/23,878,896,868.5,891,1063100,885.658,0.014806378
2015/9/22,907,918,878,878,1346300,872.735,-0.033039648
2015/9/21,906,927,906,908,994200,902.556,-0.003839824
2015/9/18,928,928,909,911.5,1283700,906.035,-0.01883746
2015/9/17,938,938,921.5,929,1248400,923.43,-0.025183631
2015/9/16,949.5,955,947.5,953,658700,947.286,0.007399577
2015/9/15,942.5,949.5,925.76,946,843700,940.328,0.005847953
