Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,163.15,165.7,154.3,156.25,69827800,156.25,-0.046674802
2016/2/8,177.85,177.85,163.6,163.9,61112400,163.9,-0.053421889
2016/2/5,174.45,175.05,169.65,173.15,48965000,173.15,-0.002879355
2016/2/4,167.7,175.8,167.05,173.65,80582600,173.65,0.048611111
2016/2/3,172.3,172.9,163.5,165.6,73258300,165.6,-0.046906475
2016/2/2,182.35,183.038,172.7,173.75,45374400,173.75,-0.049507659
2016/2/1,188.9,188.9,180.9,182.8,38834000,182.8,-0.017204301
2016/1/29,181.35,186,180.55,186,57835600,186,0.042600897
2016/1/28,181,183.754,176.5,178.4,36740200,178.4,-0.01870187
2016/1/27,182.5,182.5,178.25,181.8,40891700,181.8,-0.006557377
2016/1/26,178.5,183.8,175.15,183,60932900,183,0.006323893
2016/1/25,191.95,192.25,181.35,181.85,48650600,181.85,-0.046657929
2016/1/22,190.95,192.95,188.2,190.75,50097300,190.75,0.024711254
2016/1/21,182,186.6,179.987,186.15,65099400,186.15,0.022521285
2016/1/20,185.9,186,179.902,182.05,52318600,182.05,-0.041337546
2016/1/19,190,193.6,187.925,189.9,35139300,189.9,0.011990408
2016/1/18,191.3,198,185.85,187.65,37826600,187.65,-0.021637122
2016/1/15,196.45,198.85,190.97,191.8,49774600,191.8,-0.029843197
2016/1/14,198.25,200.15,192.52,197.7,57104700,197.7,-0.019831433
2016/1/13,204.35,205.8,200.336,201.7,41349200,201.7,-0.003212256
2016/1/12,201,204.95,199.77,202.35,31436200,202.35,0.013269905
2016/1/11,200,203.35,199.4,199.7,45116200,199.7,-0.002248314
2016/1/8,206,208.65,200.15,200.15,42733200,200.15,-0.02627098
2016/1/7,206.6,208.85,201.6,205.55,41970400,205.55,-0.029279811
2016/1/6,214.9,214.9,209.85,211.75,26042700,211.75,-0.011668611
2016/1/5,214.85,217.6,212.05,214.25,15243600,214.25,0
2016/1/4,216.35,217,212.65,214.25,28332200,214.25,-0.021242577
2015/12/31,220,220,217.55,218.9,5181600,218.9,-0.008155868
2015/12/30,222.8,223,219.1,220.7,15513500,220.7,-0.00853549
2015/12/29,221.7,224.85,221.35,222.6,17024300,222.6,0.00405954
2015/12/24,222.9,223.8,220.55,221.7,5576600,221.7,-0.002699055
2015/12/23,220.7,223.05,219.4,222.3,20864400,222.3,0.015068493
2015/12/22,218.55,221.28,217.71,219,18438800,219,0.012014787
2015/12/21,216.3,220.7,215.75,216.4,22814600,216.4,-0.005514706
2015/12/18,216.05,221.9,216.05,217.6,54977000,217.6,-0.005257143
2015/12/17,219.85,220.7,217.725,218.75,29172400,218.75,0.013904983
2015/12/16,216.3,217.45,213.75,215.75,25341800,215.75,0.004422719
2015/12/15,211.15,216.4,210.963,214.8,31559000,214.8,0.027259684
2015/12/14,213.85,214.75,209.05,209.1,42068100,209.1,-0.009943182
2015/12/11,217.95,218.3,209.382,211.2,48587900,211.2,-0.031192661
2015/12/10,220.65,223.4,216.65,218,59328100,218,-0.017796801
2015/12/9,222,225.25,219.6,221.95,27506100,221.95,-0.000675371
2015/12/8,227.35,228.05,221.6,222.1,28836400,222.1,-0.025877193
2015/12/7,231.85,232.25,227,228,19533400,228,-0.006968641
2015/12/4,230.05,234.414,227.3,229.6,28696500,229.6,-0.003039514
2015/12/3,235.1,238.1,230.3,230.3,41233100,230.3,-0.018956337
2015/12/2,234.5,236.218,233.7,234.75,32691700,234.75,0.005353319
2015/12/1,228.5,234.55,227,233.5,68770700,233.5,0.046146953
2015/11/30,223.5,224.5,221.5,223.2,27498700,223.2,-0.004904146
2015/11/27,223.9,226.03,223.1,224.3,15829400,224.3,-0.003996448
2015/11/26,222.05,225.7,221.25,225.2,21186900,225.2,0.016704289
2015/11/25,220.95,222.9,218.7,221.5,33440200,221.5,0.006589411
2015/11/24,219.5,220.55,215.4,220.05,40258200,220.05,-0.00226706
2015/11/23,220.5,222.95,218.14,220.55,28477100,220.55,-0.006083822
2015/11/20,229.5,230.25,221.3,221.9,58492800,221.9,-0.03500761
2015/11/19,229.5,231.55,227.45,229.95,28447500,229.95,0.008995173
2015/11/18,226,227.9,225.7,227.9,21167600,227.9,0.001978457
2015/11/17,226.55,229,225.6,227.45,32216600,227.45,0.0135918
2015/11/16,223,225.45,222.385,224.4,25005900,224.4,-0.003109729
2015/11/13,225,226.55,223.15,225.1,40145700,225.1,-0.002658396
2015/11/12,231.7,232.15,225.25,225.7,41604300,225.7,-0.027574321
2015/11/11,231.85,234.9,229.4,232.1,25897900,232.1,0.00650477
2015/11/10,235.55,235.569,229.4,230.6,33506800,230.6,-0.01474044
2015/11/9,235,238.45,233.95,234.05,41307700,234.05,0.007099828
2015/11/6,228.75,233.6,226.7,232.4,54794200,232.4,0.018628096
2015/11/5,231.5,232.1,227.783,228.15,40421300,228.15,-0.018076178
2015/11/4,233.7,234.25,232.1,232.35,40623100,231.35,-0.004925054
2015/11/3,235.95,236.308,231.75,233.5,44068400,232.495,-0.010802796
2015/11/2,230.4,237.81,229.75,236.05,49312900,235.034,0.017456897
2015/10/30,234,236.335,230.7,232,60170700,231.002,-0.022128556
2015/10/29,246,249,235.85,237.25,86342100,236.229,-0.062808611
2015/10/28,250.85,253.85,247.15,253.15,24344300,252.06,0.009168826
2015/10/27,250.2,252.48,249.485,250.85,23323200,249.77,-0.000398486
2015/10/26,252,253.1,250.35,250.95,19325300,249.87,-0.00119403
2015/10/23,252.95,254.258,250.871,251.25,34709200,250.169,0.002393776
