Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,3753.5,3779,3703.5,3736.5,3713000,3736.5,0.001474136
2016/2/8,3745.5,3746,3684.5,3731,3889500,3731,0.001207567
2016/2/5,3755,3778.5,3722.5,3726.5,2512200,3726.5,-0.007193286
2016/2/4,3834.5,3856.07,3726.5,3753.5,3288000,3753.5,-0.013534823
2016/2/3,3858.5,3870,3799,3805,3812500,3805,-0.013354078
2016/2/2,3865,3866,3824,3856.5,2578200,3856.5,-0.001940994
2016/2/1,3895.5,3903.5,3826.5,3864,3792400,3864,-0.008468052
2016/1/29,3829.5,3897,3800,3897,4159000,3897,0.034098448
2016/1/28,3765.5,3800.16,3748,3768.5,3560600,3768.5,0.001195537
2016/1/27,3671,3764,3653.5,3764,2834800,3764,0.021992941
2016/1/26,3616.5,3688.5,3601.5,3683,2184400,3683,0.007109653
2016/1/25,3642.5,3660.5,3624,3657,2625200,3657,0.008688457
2016/1/22,3624.5,3646.5,3606,3625.5,2567900,3625.5,0.012850957
2016/1/21,3575.5,3599.5,3547,3579.5,3348200,3579.5,0.004067321
2016/1/20,3606.5,3619.5,3544,3565,3040800,3565,-0.022484234
2016/1/19,3659,3665,3634,3647,2146800,3647,0.009689922
2016/1/18,3595,3641,3562.27,3612,1948000,3612,0.00472879
2016/1/15,3622.5,3631,3536,3595,4483800,3595,-0.012226954
2016/1/14,3675.5,3678.5,3623,3639.5,2820800,3639.5,-0.021902714
2016/1/13,3725.5,3729,3698,3721,2589100,3721,0.006219578
2016/1/12,3636,3722.5,3621.5,3698,2588800,3698,0.013567219
2016/1/11,3614,3676,3602,3648.5,2006300,3648.5,0.004819609
2016/1/8,3670.5,3673.5,3629.5,3631,2104000,3631,-0.009141766
2016/1/7,3658.5,3692.5,3627,3664.5,3141100,3664.5,-0.017033262
2016/1/6,3710,3729.5,3675,3728,2083000,3728,0.011531678
2016/1/5,3721.5,3745,3643.5,3685.5,1381100,3685.5,0
2016/1/4,3748.5,3748.5,3671,3685.5,2011700,3685.5,-0.022673031
2015/12/31,3780,3801,3754,3771,516100,3771,-0.004881911
2015/12/30,3799,3803.18,3773.5,3789.5,846200,3789.5,-0.00433526
