Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,550,559.5,538,547.5,4163100,547.5,-0.004545455
2016/2/8,592.5,593.022,548,550,4084200,550,-0.065420561
2016/2/5,604,612.5,588.5,588.5,2456900,588.5,-0.02807597
2016/2/4,613.5,614.5,601.5,605.5,2314000,605.5,0.000826446
2016/2/3,614,621.5,600.5,605,4030900,605,-0.008196721
2016/2/2,609,612,600.5,610,3002200,610,-0.001636661
2016/2/1,604.5,611,600,611,3527600,611,0.019182652
2016/1/29,590,599.5,582.5,599.5,2574300,599.5,0.029184549
2016/1/28,593,595.5,578.5,582.5,2211900,582.5,-0.017706577
2016/1/27,580,593,579.5,593,3134700,593,0.022413793
2016/1/26,573,581.5,569.5,580,2053600,580,0.002592913
2016/1/25,577,579.365,571,578.5,2087100,578.5,0.010480349
2016/1/22,574,575.782,565.5,572.5,2397300,572.5,0.011484099
2016/1/21,560.5,566.5,550.195,566,2987300,566,0.012522361
2016/1/20,570,576.5,556,559,3347100,559,-0.034542314
2016/1/19,574.5,582,571.021,579,2436900,579,0.022065313
2016/1/18,578,585.14,564,566.5,1985000,566.5,-0.020743302
2016/1/15,590,596,575.645,578.5,3367800,578.5,-0.019491525
2016/1/14,607,612.5,586.5,590,3030100,590,-0.037520392
2016/1/13,613,620.5,609.5,613,2838900,613,0.005742412
2016/1/12,604.5,616,602.337,609.5,4599200,609.5,0.025231287
2016/1/11,595.5,603.5,587.18,594.5,3001800,594.5,-0.004187605
2016/1/8,591.5,602.5,591.082,597,2790400,597,0.009298394
2016/1/7,595.5,600.5,586.5,591.5,3484000,591.5,-0.02231405
2016/1/6,616.5,619,598,605,2695300,605,-0.016260163
2016/1/5,618.5,620.5,614.5,615,1096100,615,0
2016/1/4,622,628,612.5,615,2258900,615,-0.017571885
2015/12/31,635,638.5,626,626,834300,626,-0.009493671
2015/12/30,631,635.68,623.5,632,1500000,632,-0.003154574
2015/12/29,619,634.1,613.5,634,1919000,634,0.029220779
2015/12/24,620,620,613.495,616,255700,616,0
2015/12/23,618.5,619.5,608.54,616,2223300,616,0.004893964
2015/12/22,607.5,617,607.212,613,1724100,613,0.01322314
2015/12/21,601.5,612.5,601.5,605,2930800,605,0.001655629
2015/12/18,610,613.5,601.209,604,2733200,604,-0.017886179
2015/12/17,623.5,623.5,607,615,2457800,615,0.001628664
2015/12/16,614.5,620.465,610.5,614,2067200,614,0
2015/12/15,602,616,598,614,1711300,614,0.031932773
2015/12/14,595,608,594,595,2812800,595,0.004219409
2015/12/11,597.5,603.5,591.82,592.5,2239200,592.5,-0.010851419
2015/12/10,601,603,594.894,599,2497600,599,-0.009917355
2015/12/9,608.5,614,604,605,2083200,605,-0.004934211
2015/12/8,618,620.645,607,608,2082000,608,-0.01378751
2015/12/7,614.5,619,611.832,616.5,1831600,616.5,0.004889976
2015/12/4,605,617,603,613.5,2532700,613.5,0.013212221
2015/12/3,610.5,619,604,605.5,2945900,605.5,-0.005747126
2015/12/2,609.5,613,605,609,1732800,609,0.004122012
2015/12/1,603.5,610.5,600.5,606.5,3093300,606.5,0.009151414
2015/11/30,587.5,601.167,585.5,601,4230000,601,0.022978723
2015/11/27,583,589,582.5,587.5,1656200,587.5,0.00170503
2015/11/26,580,589,577.5,586.5,2403200,586.5,0.012079379
2015/11/25,562.5,591.68,559.5,579.5,5677000,579.5,0.035746202
2015/11/24,572.5,572.5,554,559.5,3229500,559.5,-0.023560209
2015/11/23,573.5,576.824,569.5,573,1882100,573,-0.007792208
2015/11/20,577,583.5,575.848,577.5,3757200,577.5,0.000866551
2015/11/19,579.5,580,572,577,4102000,577,-0.000865801
2015/11/18,574.5,577.987,569.5,577.5,2216700,577.5,0.003475239
2015/11/17,564.5,578.495,563.95,575.5,3836300,575.5,0.024021352
2015/11/16,551,562.5,549,562,3623900,562,0.013525699
2015/11/13,563.5,566.48,552.279,554.5,2729900,554.5,-0.020318021
2015/11/12,568,573.5,562.5,566,3096500,566,-0.003521127
2015/11/11,581,582.463,558,568,4242000,568,-0.013032146
2015/11/10,572.5,584,568.5,575.5,3301300,575.5,0.007880911
2015/11/9,578.5,579,562,571,5061300,571,-0.011255411
2015/11/6,586.5,591.5,576.049,577.5,3829500,577.5,-0.011976048
2015/11/5,573,592.918,570.5,584.5,6390000,584.5,0.020069808
2015/11/4,585,586.48,567.5,573,5808200,573,-0.023017903
2015/11/3,597,597.807,581,586.5,5714400,586.5,-0.03852459
2015/11/2,605,614.5,592,610,3246600,610,-0.004081633
2015/10/30,619.5,622,607.5,612.5,6906900,612.5,-0.008097166
2015/10/29,622,623.46,614,617.5,5101500,617.5,-0.032131661
2015/10/28,640.5,643,631.5,638,3611900,627.7,0.000784314
2015/10/27,646.5,649.5,637.5,637.5,2903300,627.208,-0.013157895
2015/10/26,649.5,650,641.5,646,3143000,635.571,-0.011476664
2015/10/23,648.5,653.5,641.5,653.5,3054900,642.95,0.013178295
2015/10/22,642.5,646.5,637,645,2523600,634.587,-0.000774593
2015/10/21,645.5,648.645,640.5,645.5,1870400,635.079,0.004669261
2015/10/20,633.5,643.5,630.5,642.5,2876100,632.127,0.016613924
2015/10/19,626,632.995,626,632,1502000,621.797,0.007171315
2015/10/16,625,627.5,617.727,627.5,3055800,617.37,0.006415397
2015/10/15,614,626,611.175,623.5,2402100,613.434,0.022131148
2015/10/14,628.5,631,608.5,610,3907800,600.152,-0.03785489
2015/10/13,627,638.35,624.5,634,3143500,623.765,0.012779553
2015/10/12,631.5,634,616.5,626,3124900,615.894,-0.01027668
2015/10/9,645.5,650.5,627.5,632.5,3357700,622.289,-0.017094017
2015/10/8,641,646.5,639.775,643.5,2488700,633.111,0.004683841
2015/10/7,651.5,661,634.5,640.5,3843800,630.16,-0.016884114
2015/10/6,648,652.85,643,651.5,3248000,640.982,0.010077519
2015/10/5,645,648.5,643.425,645,3778800,634.587,0.013354281
2015/10/2,647.5,651,627,636.5,4592700,626.224,-0.01394268
2015/10/1,652.5,653.5,642,645.5,4931000,635.079,0.00155159
2015/9/30,649.5,650,639,644.5,3697400,634.095,0.010980392
2015/9/29,651,654,637.5,637.5,5268000,627.208,-0.034090909
2015/9/28,660.5,673.5,658.5,660,3277100,649.345,-0.003773585
2015/9/25,661.5,662.5,655,662.5,3178900,651.804,0.019230769
2015/9/24,652,658.5,645.5,650,5289700,639.506,-0.002302379
2015/9/23,636.5,653.925,632,651.5,2869100,640.982,0.021159875
2015/9/22,650.5,652.054,638,638,3611800,627.7,-0.020721412
2015/9/21,648,663.086,648,651.5,3279600,640.982,-0.000766871
2015/9/18,656,659,646,652,4475900,641.474,-0.009118541
2015/9/17,658,663,652,658,2288200,647.377,0.003813883
2015/9/16,656,664.2,652.5,655.5,4622400,644.917,0.003060444
2015/9/15,658.5,661,650.18,653.5,3776100,642.95,-0.004569688
2015/9/14,654,666,654,656.5,4717000,645.901,0.00382263
2015/9/11,659,659.5,647,654,2822600,643.442,-0.007587253
2015/9/10,633,660,633,659,5747200,648.361,0.032915361
2015/9/9,660,660,635.5,638,4504900,627.7,0.001569859
2015/9/8,637,642.056,634,637,2914800,626.716,0.004731861
2015/9/7,636.5,640,627.5,634,1189100,623.765,0.004754358
2015/9/4,635.5,635.5,626.5,631,3137000,620.813,-0.015600624
2015/9/3,640.5,649.5,639,641,3067100,630.652,0.009448819
2015/9/2,625.5,637,617,635,3814500,624.748,0.018444266
2015/9/1,628.5,634,614.5,623.5,4446400,613.434,-0.025019547
2015/8/31,639.5,639.5,639.5,639.5,0,629.176,0
2015/8/28,632,639.5,623.5,639.5,3489700,629.176,0.013470681
2015/8/27,628.5,635,621.5,631,3657000,620.813,0.029363785
2015/8/26,616.5,629.5,607.5,613,5599500,603.104,-0.017628205
2015/8/25,595.5,626.019,595.5,624,7170000,613.926,0.057627119
2015/8/24,592,602.5,576,590,7881100,580.475,-0.034369885
2015/8/21,620.5,630.5,611,611,3084700,601.136,-0.031695721
2015/8/20,636.5,643.5,627,631,2442800,620.813,-0.0140625
2015/8/19,637,646,632.5,640,2346400,629.668,-0.00078064
2015/8/18,651,656.14,639,640.5,4706700,630.16,-0.01914242
2015/8/17,657,660,643,653,2790500,642.458,0
2015/8/14,643,654.5,641.06,653,2147100,642.458,0.017926734
2015/8/13,640.5,647.5,638.5,641.5,3883800,631.143,0.01342812
2015/8/12,636.5,646.056,628.8,633,4264700,622.781,-0.016317016
2015/8/11,656.5,656.5,643.5,643.5,3527800,633.111,-0.016055046
2015/8/10,651.5,657,648.5,654,3271600,643.442,0.010819165
2015/8/7,650,653.1,641,647,2559200,636.555,-0.006144393
2015/8/6,639,659,636,651,4553500,640.49,0.015600624
2015/8/5,630,641,628.32,641,3125300,630.652,0.019077901
2015/8/4,631.5,635,624.5,629,2508500,618.845,-0.003958828
2015/8/3,635,637.19,629.5,631.5,1918400,621.305,-0.005511811
2015/7/31,629.5,639.82,626,635,4357300,624.748,0.01518785
2015/7/30,623.5,630,619,625.5,2645600,615.402,0.004819277
2015/7/29,620.5,625.5,610.5,622.5,5048900,612.45,0.013843648
2015/7/28,612,618.32,605.5,614,3201300,604.087,0.010699588
2015/7/27,615.5,619.69,603.5,607.5,4126500,597.692,-0.016194332
2015/7/24,626,629.655,617.5,617.5,4252600,607.531,-0.016719745
2015/7/23,630.5,633.5,621.5,628,2836600,617.861,0.0048
2015/7/22,622.5,628,618,625,3493200,614.91,-0.000799361
2015/7/21,644.5,645,625.447,625.5,3229900,615.402,-0.024941543
2015/7/20,637,642.013,633.81,641.5,1905000,631.143,0.009441385
2015/7/17,642,642,631.5,635.5,2503600,625.24,-0.013198758
2015/7/16,642.5,647.025,639.5,644,2641400,633.603,0.005464481
2015/7/15,634,640.5,628.86,640.5,2761100,630.16,0.009456265
2015/7/14,641.5,644,619.32,634.5,4937100,624.256,-0.010911925
2015/7/13,639.5,644.764,634.86,641.5,3445300,631.143,0.015835313
2015/7/10,628.5,634.5,622.965,631.5,3859500,621.305,0.017727639
2015/7/9,600,628.155,596.5,620.5,8995200,610.483,0.04373423
2015/7/8,632,635.68,590.5,594.5,10603700,584.902,-0.057097542
2015/7/7,645,645,630,630.5,4163000,620.321,-0.023993808
2015/7/6,634,654.5,630.375,646,5012000,635.571,0.010164191
2015/7/3,631,641.845,631,639.5,3162200,629.176,0.007086614
2015/7/2,634,635.5,625,635,2705400,624.748,0.004746835
2015/7/1,620.5,636.5,619.31,632,3695700,621.797,0.028478438
2015/6/30,615,618.655,606,614.5,4005700,604.579,-0.004051864
2015/6/29,607.5,624.5,602.5,617,4399600,607.039,-0.015948963
2015/6/26,633.5,633.5,624.763,627,3946600,616.878,-0.013375295
2015/6/25,614,636,613.81,635.5,3971100,625.24,0.028317152
2015/6/24,629.5,635,616,618,8126200,608.023,-0.022924901
2015/6/23,645,647.5,632.36,632.5,3267500,622.289,-0.01171875
2015/6/22,633,641.011,629,640,8545000,629.668,0.024819856
2015/6/19,620,626.5,619,624.5,4581500,614.418,0.005636071
2015/6/18,616.5,621,609,621,2939000,610.974,0.004042037
