Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,1055.5,1066,986,1028,19914600,1028,-0.025130394
2016/2/8,1066,1070.47,1042.5,1054.5,7535000,1054.5,-0.005188679
2016/2/5,1057.5,1074.03,1054.5,1060,7687300,1060,0.002364066
2016/2/4,1045,1065,1037.5,1057.5,18812200,1057.5,0.040334481
2016/2/3,1014,1025.5,1004,1016.5,13327000,1016.5,0.002465483
2016/2/2,1040,1040,1007,1014,20378300,1014,-0.031980907
2016/2/1,1060,1097,1032.5,1047.5,19963900,1047.5,-0.006638217
2016/1/29,1064,1064,1033,1054.5,22429400,1054.5,0.010057471
2016/1/28,1030.5,1065,1030.5,1044,21208900,1044,0.014084507
2016/1/27,991.8,1029.5,973.8,1029.5,23399200,1029.5,0.034777365
2016/1/26,965,996.4,957.9,994.9,16402200,994.9,0.013446063
2016/1/25,995.1,995.1,969.3,981.7,15840000,981.7,0.0015303
2016/1/22,958.7,990,957.1,980.2,19991500,980.2,0.050927415
2016/1/21,896,937.8,896,932.7,13679400,932.7,0.039104278
2016/1/20,915,926.2,897.6,897.6,21462000,897.6,-0.045004788
2016/1/19,940.9,953.7,929.7,939.9,9033700,939.9,0.012168856
2016/1/18,929.7,942.9,924.6,928.6,20362100,928.6,-0.00684492
2016/1/15,949.6,956.5,912.7,935,12368200,935,-0.019813398
2016/1/14,912,963.8,910.4,953.9,13327600,953.9,0.029351462
2016/1/13,927.6,948.3,920,926.7,7619100,926.7,0.007173133
2016/1/12,911.1,940.5,909.279,920.1,13989400,920.1,0.002615234
2016/1/11,927.7,938.6,917.7,917.7,12602400,917.7,-0.023723404
2016/1/8,960,968.2,939.1,940,16731500,940,0.003308784
2016/1/7,922.6,941.9,893.9,936.9,18153000,936.9,-0.019363617
2016/1/6,974,980.6,945.3,955.4,9316100,955.4,-0.022008394
2016/1/5,988.2,996.3,973.4,976.9,4013900,976.9,0
2016/1/4,982.6,992.5,968.1,976.9,6830900,976.9,-0.00822335
2015/12/31,986.7,996.8,985,985,1659200,985,-0.006555724
2015/12/30,1005.5,1005.5,988.2,991.5,2957300,991.5,-0.013923421
2015/12/29,987.1,1005.5,974.2,1005.5,5013900,1005.5,0.01926001
2015/12/24,996,1003,986.5,986.5,1500000,986.5,-0.001619269
2015/12/23,935,993.5,933.4,988.1,10316100,988.1,0.062815962
2015/12/22,908.2,930.871,908.2,929.7,11863300,929.7,0.033229607
