Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,3112,3170,3014,3090,1760300,3090,-0.012464046
2016/2/8,3404,3418,3112,3129,1159300,3129,-0.07699115
2016/2/5,3564,3581,3382,3390,780700,3390,-0.049887892
2016/2/4,3579,3602,3537,3568,586900,3568,0.010478618
2016/2/3,3558,3603,3509,3531,647200,3531,-0.004510854
2016/2/2,3526,3547.5,3488,3547,548400,3547,0.005955757
2016/2/1,3542,3593,3510,3526,835500,3526,-0.002545969
2016/1/29,3536,3561,3488,3535,1094400,3535,0.01
2016/1/28,3561,3572.24,3475,3500,650300,3500,-0.016301293
2016/1/27,3530,3558,3496,3558,576400,3558,0.005652911
2016/1/26,3501,3544,3489,3538,432300,3538,-0.002537356
2016/1/25,3494,3549,3476,3547,539300,3547,0.023665224
2016/1/22,3502,3506,3446,3465,528600,3465,0.004056795
2016/1/21,3468,3502.45,3357.51,3451,800400,3451,-0.004614941
2016/1/20,3507,3547,3448,3467,513800,3467,-0.029395297
2016/1/19,3465,3584,3430.51,3572,618100,3572,0.041399417
2016/1/18,3510,3550,3426.2,3430,527600,3430,-0.022792023
2016/1/15,3609,3676,3488,3510,701200,3510,-0.026892154
2016/1/14,3703,3715.48,3604,3607,697100,3607,-0.025135135
2016/1/13,3707,3722.31,3679.6,3700,664800,3700,0.007625272
2016/1/12,3609,3707,3609,3672,795500,3672,0.037874505
2016/1/11,3487,3566,3440,3538,490800,3538,0.011146042
2016/1/8,3453,3520,3447.31,3499,468000,3499,0.012149262
2016/1/7,3453,3476,3414,3457,537200,3457,-0.015380234
2016/1/6,3541,3568,3497,3511,427300,3511,-0.02769316
2016/1/5,3645,3658.56,3536,3611,313000,3611,0
2016/1/4,3654,3677,3578.56,3611,397600,3611,-0.020878525
2015/12/31,3731,3731,3660.44,3688,101600,3688,-0.004856989
2015/12/30,3693,3719,3666,3706,233400,3706,-0.001347346
2015/12/29,3646,3722,3602.31,3711,306600,3711,0.027124273
2015/12/24,3702,3702,3604,3613,96000,3613,-0.017672648
2015/12/23,3700,3701,3621,3678,358900,3678,0.003273322
2015/12/22,3581,3667,3580,3666,539700,3666,0.030064625
2015/12/21,3553,3667,3536.7,3559,823600,3559,0.001406866
2015/12/18,3575,3589,3532,3554,492700,3554,-0.008647141
2015/12/17,3762,3762,3509,3585,864700,3585,-0.045781208
2015/12/16,3735,3788,3727,3757,847800,3657,0.008590604
2015/12/15,3533,3734,3503,3725,813200,3625.852,0.057938086
2015/12/14,3513,3577.55,3499,3521,492000,3427.282,0.006575186
2015/12/11,3546,3568,3490.36,3498,566600,3404.894,-0.016587012
2015/12/10,3541,3586,3517,3557,463600,3462.323,0.000281215
2015/12/9,3599,3610,3549,3556,674700,3461.35,-0.012222222
2015/12/8,3600,3628,3571,3600,546000,3504.179,0
2015/12/7,3650,3676,3572,3600,571600,3504.179,-0.000555247
2015/12/4,3502,3690,3485,3602,1777500,3506.126,0.074582339
2015/12/3,3316,3395.8,3311,3352,814500,3262.78,0.012382966
2015/12/2,3300,3329,3294,3311,351300,3222.871,0.00945122
2015/12/1,3235,3293,3220.56,3280,443700,3192.696,0.021488633
2015/11/30,3133,3215,3104.4,3211,549000,3125.533,0.024242424
2015/11/27,3106,3143,3090,3135,198900,3051.556,0.006097561
2015/11/26,3092,3120.5,3052,3116,279700,3033.061,0.012674683
2015/11/25,3076,3200,3013,3077,787800,2995.1,0.012171053
2015/11/24,3069,3081,2994,3040,398800,2959.084,-0.009126467
2015/11/23,3063,3081,3044,3068,266900,2986.339,-0.003896104
2015/11/20,3111,3117.39,3069,3080,379700,2998.02,-0.004203039
2015/11/19,3150,3150,3063,3093,547900,3010.674,-0.014654349
2015/11/18,3138,3147,3099,3139,230200,3055.449,-0.00063674
2015/11/17,3093,3153,3093,3141,248400,3057.396,0.023460411
2015/11/16,3006,3082,2985.06,3069,403100,2987.312,0.009539474
2015/11/13,3088,3115,3026,3040,501400,2959.084,-0.017770598
2015/11/12,3119,3142,3078,3095,373700,3012.62,-0.006420546
2015/11/11,3135,3141.76,3087,3115,586700,3032.088,-0.005427842
2015/11/10,3116,3172.28,3108,3132,656700,3048.636,0.011627907
2015/11/9,3114,3131,3042,3096,513900,3013.594,-0.004181409
2015/11/6,3135,3192,3098,3109,604900,3026.248,-0.012388818
2015/11/5,3105,3180,3094.4,3148,637800,3064.21,0.018111255
2015/11/4,3195,3195.55,3026,3092,939300,3009.7,-0.032540676
2015/11/3,3298,3311.24,3184,3196,354300,3110.932,-0.032980333
2015/11/2,3293,3353,3289.54,3305,344500,3217.031,-0.003918023
2015/10/30,3300,3337,3298,3318,268000,3229.685,0.008510638
2015/10/29,3318,3336,3276,3290,374500,3202.43,-0.007840772
2015/10/28,3288,3337,3282,3316,303200,3227.738,0.011592434
2015/10/27,3307,3317,3278,3278,247900,3190.75,-0.006666667
2015/10/26,3280,3316,3248,3300,334700,3212.164,0.000303122
2015/10/23,3244,3308,3236,3299,386600,3211.191,0.022945736
2015/10/22,3234,3259,3198,3225,464600,3139.16,-0.008302583
2015/10/21,3265,3273.12,3234,3252,221900,3165.442,-0.000614628
2015/10/20,3231,3277,3221,3254,409000,3167.388,0.010559006
2015/10/19,3191,3230,3183,3220,334200,3134.293,0.008455997
2015/10/16,3234,3248,3144,3193,650200,3108.012,-0.010842627
2015/10/15,3196,3246,3171,3228,375600,3142.08,0.016372796
2015/10/14,3230,3241,3162,3176,344300,3091.464,-0.024570025
2015/10/13,3220,3273,3219,3256,350400,3169.335,0.014330218
2015/10/12,3251,3263,3174.36,3210,547300,3124.559,-0.014127764
2015/10/9,3335,3378,3234.51,3256,400700,3169.335,-0.018981621
2015/10/8,3298,3337.59,3295,3319,295400,3230.658,0.007283763
2015/10/7,3426,3431,3286,3295,540600,3207.297,-0.033157277
2015/10/6,3393,3440,3371,3408,505500,3317.289,0.01007706
2015/10/5,3369,3387,3358,3374,402800,3284.194,0.013822115
2015/10/2,3387,3428,3290,3328,438400,3239.419,-0.014801658
2015/10/1,3383,3413,3363,3378,658500,3288.088,0.011377246
2015/9/30,3398,3410,3327,3340,555600,3251.099,0.00149925
2015/9/29,3415,3458,3335,3335,717000,3246.232,-0.036127168
2015/9/28,3443,3506,3443,3460,531600,3367.905,0
2015/9/25,3477,3479.2,3426,3460,393200,3367.905,0.010809232
2015/9/24,3396,3438,3381,3423,498800,3331.89,0.004401408
2015/9/23,3322,3419,3294.72,3408,420600,3317.289,0.027434429
2015/9/22,3414,3415.7,3315.3,3317,568800,3228.711,-0.029833285
2015/9/21,3394,3471,3394,3419,473200,3327.997,0.007069219
2015/9/18,3488,3491,3371,3395,3474300,3304.635,-0.023583549
2015/9/17,3478,3495,3434,3477,375300,3384.453,0.004332756
2015/9/16,3500,3531,3452,3462,389100,3369.852,-0.003167291
2015/9/15,3505,3512,3445,3473,391400,3380.559,-0.006294707
2015/9/14,3483,3520,3446.91,3495,464900,3401.974,0.007204611
2015/9/11,3489,3496,3421,3470,340400,3377.639,-0.002873563
2015/9/10,3452,3507,3430.96,3480,532700,3387.373,0.000575043
2015/9/9,3523,3524,3438,3478,429800,3385.426,0.006657019
2015/9/8,3416,3481,3375,3455,459900,3363.038,0.022189349
2015/9/7,3431,3442.04,3356,3380,279800,3290.035,-0.005589879
2015/9/4,3410,3432,3378,3399,530100,3308.529,-0.009037901
2015/9/3,3359,3461,3338,3430,508300,3338.704,0.021137243
2015/9/2,3297,3373,3276.72,3359,655600,3269.594,0.022838002
2015/9/1,3374,3374,3224,3284,597400,3196.59,-0.026097272
2015/8/31,3372,3372,3372,3372,0,3282.248,0
2015/8/28,3325,3372,3296,3372,460400,3282.248,0.014440433
2015/8/27,3304,3347,3288,3324,572700,3235.525,0.027829314
2015/8/26,3263,3294,3201,3234,730000,3147.921,-0.02059358
2015/8/25,3175,3306,3164,3302,728100,3214.111,0.051592357
2015/8/24,3237,3255,3068,3140,913900,3056.423,-0.053075995
2015/8/21,3392,3425,3316,3316,441100,3227.738,-0.035766211
2015/8/20,3435,3475,3418,3439,1430600,3347.464,-0.006069364
2015/8/19,3455,3491,3424,3460,455000,3367.905,0.000289101
2015/8/18,3453,3495,3407,3459,417600,3366.932,0.000868056
2015/8/17,3460,3465,3414,3456,431300,3364.012,0.004067403
2015/8/14,3428,3449.96,3400.52,3442,334400,3350.384,0.007316359
2015/8/13,3408,3450,3396,3417,457800,3326.05,-0.016973533
2015/8/12,3515,3540,3447,3476,784800,3295.875,-0.018079096
2015/8/11,3529,3552,3498,3540,582100,3356.559,0.002265006
2015/8/10,3502,3570,3483,3532,740000,3348.973,0.013777268
2015/8/7,3459,3509,3414,3484,602500,3303.46,0.005193306
2015/8/6,3392,3474,3356,3466,558400,3286.393,0.02211737
2015/8/5,3376,3399,3355,3391,289000,3215.28,0.006828979
2015/8/4,3351,3392,3329,3368,373100,3193.472,0.008081413
2015/8/3,3358,3370,3307,3341,319600,3167.871,-0.008311072
2015/7/31,3319,3400,3296.7,3369,485300,3194.42,0.021528199
2015/7/30,3274,3303,3253,3298,384800,3127.099,0.007638252
2015/7/29,3287,3301,3232,3273,502100,3103.394,0.00398773
2015/7/28,3257,3283.22,3239,3260,539400,3091.068,0.004932182
2015/7/27,3253,3281,3207,3244,306700,3075.897,-0.007647599
2015/7/24,3312,3329,3263,3269,309200,3099.602,-0.012684989
2015/7/23,3287,3315.36,3257.84,3311,509400,3139.425,0.019396552
2015/7/22,3223,3255.58,3204.41,3248,477800,3079.69,0.004639654
2015/7/21,3294,3309,3217,3233,522800,3065.467,-0.017026452
2015/7/20,3255,3305,3254,3289,236100,3118.565,0.011377614
2015/7/17,3324,3324,3240,3252,418800,3083.483,-0.019891501
2015/7/16,3313,3354,3300,3318,293800,3146.062,0.010353228
2015/7/15,3268,3322.58,3247.89,3284,497900,3113.824,0.004895961
2015/7/14,3353,3353,3234,3268,524900,3098.653,-0.024768726
2015/7/13,3328,3361.37,3297,3351,415500,3177.352,0.021957914
2015/7/10,3284,3298,3243,3279,479200,3109.083,0.017059553
2015/7/9,3128,3274,3105.3,3224,812900,3056.934,0.039664624
2015/7/8,3335,3358,3066,3101,1210800,2940.307,-0.070164918
2015/7/7,3405,3422,3319,3335,754300,3162.182,-0.017673049
2015/7/6,3363,3440,3351.85,3395,436000,3219.072,0.001179593
2015/7/3,3382,3403,3369,3391,310400,3215.28,-0.000589449
2015/7/2,3373,3412,3361,3393,438600,3217.176,0.000294811
2015/7/1,3388,3447,3382,3392,557300,3216.228,0.013747759
2015/6/30,3315,3374,3291,3346,720300,3172.612,0.009960761
2015/6/29,3283,3339,3271,3313,593700,3141.322,-0.014574658
2015/6/26,3360,3375,3341,3362,370600,3187.782,-0.007966952
2015/6/25,3306,3407,3305,3389,655000,3213.383,0.025105868
2015/6/24,3386,3395.13,3294,3306,884600,3134.684,-0.026215022
2015/6/23,3468,3472,3380,3395,469100,3219.072,-0.016227181
2015/6/22,3435,3463.58,3417,3451,630500,3272.17,0.013509545
2015/6/19,3377,3420,3360.05,3405,811300,3228.554,0.008590047
2015/6/18,3421,3441.7,3365,3376,1013300,3201.057,-0.030163746
2015/6/17,3375,3516,3351,3481,1569000,3300.616,0.102279924
2015/6/16,3121,3158,3105,3158,372500,2994.354,0.014129737
2015/6/15,3144,3160,3102,3114,435300,2952.634,-0.018284994
2015/6/12,3152,3178,3144,3172,478300,3007.628,0
2015/6/11,3129,3177,3114,3172,273900,3007.628,0.011157157
2015/6/10,3074,3144,3064.31,3137,547600,2974.442,0.023157208
2015/6/9,3073,3083,3032,3066,358500,2907.121,-0.001953125
2015/6/8,3087,3097,3063.09,3072,357300,2912.81,-0.000650618
2015/6/5,3110,3127,3031.46,3074,568200,2914.706,-0.016949153
2015/6/4,3150,3167,3104,3127,544500,2964.96,-0.011694058
2015/6/3,3146,3198,3138,3164,470000,3000.043,0.00989467
2015/6/2,3159,3163,3120,3133,548900,2970.649,-0.000319081
2015/6/1,3115,3151,3109.12,3134,542400,2971.597,0.012928248
2015/5/29,3089,3149,3071,3094,580400,2933.67,0.001294498
2015/5/28,3054,3094.74,3054,3090,710400,2929.877,0.00618691
2015/5/27,3039,3096,3027.16,3071,493800,2911.862,0.00721548
2015/5/26,3033,3087,3002,3049,600400,2891.002,0.004943968
2015/5/25,3034,3034,3034,3034,0,2876.779,0
