Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,681.5,685,663.5,669,5758900,662.05,-0.014727541
2016/2/8,718.5,720,676.5,679,5743500,671.946,-0.051013277
2016/2/5,714.5,726.902,713.5,715.5,4150500,708.067,0.00139958
2016/2/4,731,734.5,712,714.5,3903400,707.078,-0.009015257
2016/2/3,738.5,739,716,721,4264500,713.51,-0.019047619
2016/2/2,748,749.5,734.5,735,3022100,727.365,-0.018036072
2016/2/1,747.5,749,734.5,748.5,4139600,740.724,0.011486486
2016/1/29,729,740,726.399,740,3962500,732.313,0.025641026
2016/1/28,726,733.5,650,721.5,2165900,714.005,-0.011643836
2016/1/27,733.5,747.43,723.493,730,3906400,722.417,-0.004092769
2016/1/26,726,737.991,724,733,3784400,725.385,-0.002721088
2016/1/25,738,738,727.54,735,4230100,727.365,0.006160164
2016/1/22,723,732,715,730.5,5299800,722.911,0.021678322
2016/1/21,700,716.5,694,715,5689000,707.572,0.026561378
2016/1/20,707,715,694.5,696.5,4506300,689.265,-0.025874126
2016/1/19,730,730,712,715,4636600,707.572,0.004213483
2016/1/18,715.5,723.5,712,712,3178500,704.604,-0.004195804
2016/1/15,730,735.5,715,715,5637600,707.572,-0.023224044
2016/1/14,737.5,750.111,729.5,732,4656800,724.396,-0.014141414
2016/1/13,749.5,751.066,739.985,742.5,6249700,734.787,-0.003355705
2016/1/12,742.5,754,738,745,2917200,737.261,0.005398111
2016/1/11,744.5,755.5,739,741,3690500,733.302,-0.000674309
2016/1/8,756,758.5,741.5,741.5,2931800,733.797,-0.018530774
2016/1/7,753,761.09,748,755.5,3720900,747.652,-0.02073882
2016/1/6,782,789.5,770.15,771.5,3366400,756.469,-0.016571064
2016/1/5,779.5,786.92,775,784.5,2729700,769.216,0.018170019
2016/1/4,778,786,765.5,770.5,3874700,755.489,-0.019720102
2015/12/31,789,790.78,784,786,1321800,770.687,-0.001904762
2015/12/30,794,798,782.5,787.5,2076300,772.157,-0.011299435
2015/12/29,793.5,801,791.5,796.5,1989000,780.982,0.003780718
2015/12/28,793.5,793.5,793.5,793.5,0,778.04,0
2015/12/25,793.5,793.5,793.5,793.5,0,778.04,0
2015/12/24,791.5,795,788.5,793.5,297500,778.04,0.005066498
2015/12/23,784,789.5,776.992,789.5,1743300,774.118,0.012179487
2015/12/22,782,787,773.5,780,1973400,764.804,0.004507405
2015/12/21,785,796.88,776.5,776.5,2036300,761.372,-0.008301405
2015/12/18,788.5,799.5,782,783,4045500,767.745,-0.014474512
2015/12/17,804,808,792.29,794.5,2772300,779.021,0.001260239
2015/12/16,780,797,775.5,793.5,2929800,778.04,0.019922879
2015/12/15,770,781,766.5,778,2817600,762.842,0.020997375
2015/12/14,779.5,787.5,762,762,2936800,747.154,-0.015503876
2015/12/11,794.5,795.5,773.01,774,3560800,758.92,-0.028248588
2015/12/10,797,804,790.5,796.5,2238200,780.982,-0.003128911
2015/12/9,809,810,799,799,2233700,783.433,-0.006218905
2015/12/8,814,815,802.495,804,2068400,788.336,-0.011070111
2015/12/7,814,823.5,812,813,2258900,797.161,-0.001228501
2015/12/4,815.5,815.56,799.62,814,3355100,798.141,-0.001839362
2015/12/3,845,848.5,815.5,815.5,3756300,799.612,-0.035481963
2015/12/2,851,853,845.5,845.5,2830600,829.027,-0.000591017
2015/12/1,839,846.5,835.44,846,2488900,829.518,0.014388489
2015/11/30,834,839,829,834,2174000,817.751,-0.000599161
2015/11/27,828,834.5,824.5,834.5,1339800,818.242,0.005421687
2015/11/26,832.5,833,823,830,1595200,813.829,0
2015/11/25,820,834.5,818.5,830,2570600,813.829,0.014050092
2015/11/24,829.5,829.5,811.5,818.5,3500800,802.553,-0.012665862
2015/11/23,840.5,840.5,829,829,1770800,812.849,-0.016607355
2015/11/20,846,846.5,840.5,843,2741200,826.576,0.001782531
2015/11/19,837.5,843,830,841.5,3022300,825.105,0.015078408
2015/11/18,838.5,847.524,824,829,3539200,812.849,-0.011329756
2015/11/17,845,845,820,838.5,4121300,822.164,0.022560976
2015/11/16,798,820.5,796.5,820,4208900,804.024,0.019900498
2015/11/13,802.5,808,796.99,804,3881100,788.336,0.000622278
2015/11/12,817,823.5,803.5,803.5,3618600,787.846,-0.015318627
2015/11/11,825,825.5,810.82,816,2715700,800.102,-0.006090134
2015/11/10,823,824,810,821,4247400,805.005,-0.001823708
2015/11/9,842,843.5,821.5,822.5,3194400,806.476,-0.019081694
2015/11/6,854,855.5,836.539,838.5,3787500,822.164,-0.01584507
2015/11/5,838.5,852.5,835,852,4842200,835.401,0.020359281
2015/11/4,859.5,860.5,835,835,4981700,818.732,-0.025670945
2015/11/3,871,872,856.5,857,2523500,840.303,-0.017201835
2015/11/2,869.5,874,866.12,872,1925200,855.011,0.001723148
2015/10/30,869.5,874.5,866.5,870.5,2599100,853.54,0.000574713
2015/10/29,879,879,866,870,2427300,853.05,-0.006849315
2015/10/28,870.5,876.5,867.5,876,2178800,858.933,0.008635579
2015/10/27,871.5,875.312,865,868.5,1354500,851.579,-0.001724138
2015/10/26,867,874.5,860.5,870,1807100,853.05,0.005199307
2015/10/23,871,875,863.5,865.5,3184900,848.638,-0.004600345
2015/10/22,856.5,871.5,856.5,869.5,2134600,852.56,0.010459035
