Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,704,707.5,655.8,666.1,13538300,666.1,-0.058515901
2016/2/8,714.7,730,687.8,707.5,12655800,707.5,-0.002397067
2016/2/5,701.2,725.5,688.3,709.2,15876400,709.2,-0.00477126
2016/2/4,670.2,727.5,668.7,712.6,19257200,712.6,0.10789801
2016/2/3,626.6,646.7,619.6,643.2,16778800,643.2,0.017077799
2016/2/2,664,664,620.8,632.4,14553200,632.4,-0.06739419
2016/2/1,682.1,686.2,659.5,678.1,11419500,678.1,0.002513306
2016/1/29,690,695,651.3,676.4,14413000,676.4,-0.004708652
2016/1/28,664.8,703.6,658.7,679.6,18722100,679.6,0.014479773
2016/1/27,660,669.9,635.4,669.9,16790800,669.9,0.00661157
2016/1/26,625,669,616,665.5,16200700,665.5,0.040168803
2016/1/25,658,658,627.2,639.8,12280300,639.8,-0.014023732
2016/1/22,666.6,677.2,641.2,648.9,19298800,648.9,0.009489732
2016/1/21,592,652.9,585,642.8,25343300,642.8,0.106558788
2016/1/20,599.9,600,571.6,580.9,19422100,580.9,-0.073672461
2016/1/19,626,648.7,619.2,627.1,14412700,627.1,0.030059133
2016/1/18,615.9,625.3,601.7,608.8,12922700,608.8,-0.010081301
2016/1/15,640,645.7,607.4,615,19258300,615,-0.063926941
2016/1/14,626,664.3,618.4,657,21476800,657,0.060361524
2016/1/13,624.3,640.3,614.2,619.6,17159700,619.6,0.002751254
2016/1/12,619,648.8,609.1,617.9,19974900,617.9,-0.028611853
2016/1/11,645.4,659.9,634.1,636.1,12779600,636.1,-0.024536114
2016/1/8,677.8,691.6,652.1,652.1,11750500,652.1,-0.032061749
2016/1/7,675,679.8,662,673.7,19380100,673.7,-0.050324218
2016/1/6,730,730,693.7,709.4,14733300,709.4,-0.036141304
2016/1/5,754.1,764,733.6,736,8059700,736,0
2016/1/4,750,750.5,726.6,736,11139000,736,-0.031578947
2015/12/31,762,762,750.2,760,1877800,760,-0.000788851
2015/12/30,771,772.6,754.333,760.6,6076200,760.6,-0.019592679
2015/12/29,777.2,782.5,763.6,775.8,8208000,775.8,-0.000901481
2015/12/24,786.8,795,771.6,776.5,1688500,776.5,-0.002056291
2015/12/23,744.9,781.9,744.9,778.1,11807600,778.1,0.068818681
2015/12/22,724,729.5,716.3,728,7499500,728,0.015766709
2015/12/21,719.5,744.3,715.7,716.7,10145600,716.7,-0.000697156
2015/12/18,695.7,719.5,695.1,717.2,16872900,717.2,0.024571429
2015/12/17,712.7,722.3,697.7,700,13055900,700,-0.003984064
