Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,1780,1794,1763,1781,699500,1781,0.002250985
2016/2/8,1852,1852,1772,1777,647600,1777,-0.03423913
2016/2/5,1859,1871,1820,1840,586900,1840,-0.00862069
2016/2/4,1879,1879,1831.18,1856,558500,1856,0.000539084
2016/2/3,1857,1871,1834,1855,705400,1855,-0.00536193
2016/2/2,1865,1877,1855,1865,593700,1865,-0.001605996
2016/2/1,1875,1883,1853,1868,545100,1868,0
2016/1/29,1798,1868,1794.19,1868,980600,1868,0.036051026
2016/1/28,1807,1818,1789,1803,435200,1803,-0.008796042
2016/1/27,1802,1819,1795,1819,485400,1819,0.010555556
2016/1/26,1778,1804,1765,1800,493600,1800,-0.001663894
2016/1/25,1810,1816,1792,1803,359800,1803,0.001666667
2016/1/22,1787,1806,1776,1800,472400,1800,0.022727273
2016/1/21,1741,1760,1729,1760,697000,1760,0.014409222
2016/1/20,1744,1754,1722,1735,780600,1735,-0.020880361
2016/1/19,1787,1787,1766,1772,591000,1772,0.006818182
2016/1/18,1778,1795,1758.36,1760,394800,1760,-0.010680157
2016/1/15,1808,1817,1765,1779,707100,1779,-0.018211921
2016/1/14,1818,1828,1777,1812,732800,1812,-0.014145811
2016/1/13,1840,1851,1826,1838,644300,1838,-0.005411255
2016/1/12,1829,1855,1818,1848,480300,1848,0.009836066
2016/1/11,1827,1847,1825,1830,476600,1830,-0.001091703
2016/1/8,1837,1856,1829,1832,686900,1832,0.004936917
2016/1/7,1831,1838,1804,1823,545100,1823,-0.018309101
2016/1/6,1883,1883,1844,1857,501300,1857,0.008690929
2016/1/5,1857,1894,1857,1841,452300,1841,0
2016/1/4,1874,1895.52,1833,1841,626900,1841,-0.023342175
2015/12/31,1902,1902,1877,1885,111800,1885,-0.005801688
2015/12/30,1896,1904,1885,1896,308100,1896,-0.002105263
2015/12/29,1879,1900,1873,1900,339000,1900,0.016042781
2015/12/24,1868,1872,1856,1870,54600,1870,0.004296455
2015/12/23,1835,1865.2,1835,1862,278500,1862,0.019157088
2015/12/22,1834,1842.2,1822,1827,363700,1827,0.00109589
2015/12/21,1841,1863,1825,1825,385700,1825,-0.008690929
2015/12/18,1848,1851,1833,1841,798000,1841,-0.006475985
2015/12/17,1866,1876,1851,1853,748900,1853,0.003248511
2015/12/16,1844,1855,1837,1847,526400,1847,0.001084011
2015/12/15,1811,1851,1810.98,1845,587900,1845,0.022160665
2015/12/14,1835,1853,1804,1805,567600,1805,-0.014199891
2015/12/11,1861,1866,1831,1831,462500,1831,-0.015591398
2015/12/10,1872,1875,1851,1860,374100,1860,-0.006410256
2015/12/9,1881,1892,1872,1872,431100,1872,-0.004784689
2015/12/8,1912,1922,1876,1881,538300,1881,-0.018779343
2015/12/7,1913,1940,1909.8,1917,258900,1917,0.005243838
2015/12/4,1904,1940.68,1894.6,1907,487100,1907,-0.003136435
2015/12/3,1942,1963,1913,1913,728300,1913,-0.018471011
2015/12/2,1935,1954,1928,1949,452500,1949,0.010892116
2015/12/1,1929,1942,1923,1928,601300,1928,0.004166667
2015/11/30,1905,1925,1896,1920,747600,1920,0.008403361
2015/11/27,1895,1912,1889,1904,271200,1904,0.001578117
2015/11/26,1908,1916,1897,1901,462000,1901,-0.003668763
2015/11/25,1884,1914,1877,1908,663800,1908,0.017057569
2015/11/24,1891,1891,1866,1876,448300,1876,-0.00845666
2015/11/23,1892,1899.6,1887.2,1892,405000,1892,-0.001055966
2015/11/20,1897,1900,1872,1894,433800,1894,0.004241782
2015/11/19,1876,1894,1861,1886,612000,1886,0.004259851
2015/11/18,1872,1881,1864,1878,296700,1866.25,-0.00106383
2015/11/17,1864,1880,1864,1880,471100,1856.561,0.01511879
2015/11/16,1830,1857,1830,1852,405400,1828.91,0.006521739
2015/11/13,1859,1862,1836,1840,459500,1817.06,-0.013404826
2015/11/12,1888,1904,1865,1865,560300,1841.748,-0.012182203
2015/11/11,1884,1898,1879,1888,417900,1864.461,0.005860416
2015/11/10,1878,1884,1857,1877,607200,1853.598,0.007514761
2015/11/9,1903,1903,1862.81,1863,580700,1839.773,-0.016886544
2015/11/6,1875,1906,1870,1895,613000,1871.374,0.013911182
2015/11/5,1879,1885,1864,1869,429800,1845.698,-0.004792332
2015/11/4,1877,1888,1869,1878,542300,1854.586,0.004815409
2015/11/3,1866,1885,1864,1869,508200,1845.698,-0.000534759
2015/11/2,1848,1879,1846.6,1870,556500,1846.686,0.00591716
2015/10/30,1840,1859,1837,1859,932900,1835.823,0.013631407
2015/10/29,1818,1836,1812,1834,1268500,1811.134,0.00880088
2015/10/28,1799,1822,1794.95,1818,418800,1795.334,0.010561423
2015/10/27,1810,1810,1793,1799,624400,1776.571,-0.004427227
2015/10/26,1827,1833,1807,1807,566900,1784.471,-0.014184397
2015/10/23,1823,1849,1819,1833,695700,1810.147,0.01103144
2015/10/22,1797,1819,1782,1813,927900,1790.396,0.007782101
2015/10/21,1830,1830,1788,1799,1450700,1776.571,-0.024932249
2015/10/20,1836,1851,1827,1845,648300,1821.997,0.003808487
2015/10/19,1827,1844,1827,1838,508500,1815.085,0.006020799
2015/10/16,1836,1843,1818,1827,656700,1804.222,-0.002729258
2015/10/15,1825,1841,1818,1832,455000,1809.159,0.00770077
2015/10/14,1814,1825,1813,1818,911900,1795.334,-0.007641921
2015/10/13,1845,1851,1818,1832,602400,1809.159,-0.002721829
2015/10/12,1854,1865,1830,1837,470000,1814.097,-0.010237069
2015/10/9,1877,1878,1853,1856,505200,1832.86,-0.002686728
2015/10/8,1859,1870,1854,1861,619500,1837.798,0.002154012
2015/10/7,1868,1872,1849,1857,622600,1833.848,-0.001612903
