Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,344.5,347.7,334.45,334.45,44362700,324.318,-0.027478918
2016/2/8,352.9,353.4,337.85,343.9,36702300,333.482,-0.019249964
2016/2/5,350,356.55,345.4,350.65,34045300,340.027,-0.000570044
2016/2/4,341,354.4,338.2,350.85,59332700,340.221,0.055664209
2016/2/3,332.35,337.1,324.55,332.35,54849700,322.282,-0.008206506
2016/2/2,348.1,349.8,330.1,335.1,83735600,324.949,-0.086796566
2016/2/1,379.45,381.8,359.7,366.95,54869700,355.834,-0.024328636
2016/1/29,376.05,377.8,366.9,376.1,56502000,364.706,0.020762654
2016/1/28,362.5,378.8,360.85,368.45,62408900,357.288,0.015293469
2016/1/27,356,362.9,349.946,362.9,41412900,351.906,0.017952314
2016/1/26,342.2,357.8,338,356.5,42093200,345.7,0.018135085
2016/1/25,352.8,353.428,343.05,350.15,47281500,339.543,-0.00722994
2016/1/22,350.85,357.8,347.45,352.7,48161100,342.015,0.030533236
2016/1/21,328.6,344.1,326.05,342.25,53447700,331.882,0.042968155
2016/1/20,333.7,336.2,325.1,328.15,63283400,318.209,-0.041757921
2016/1/19,346.3,351.45,339.65,342.45,50643500,332.076,0.005726872
2016/1/18,336.65,347.35,333.1,340.5,41699800,330.185,0.006949579
2016/1/15,349.3,349.65,335.55,338.15,53838400,327.906,-0.027466206
2016/1/14,332.2,353.1,330.35,347.7,61223400,337.167,0.035283609
2016/1/13,327.1,342.1,325,335.85,55594200,325.676,0.039461467
2016/1/12,328,336.9,322.4,323.1,46002900,313.312,-0.015089163
2016/1/11,329.05,336,327.35,328.05,36482000,318.112,-0.001977487
2016/1/8,339.7,339.713,328.7,328.7,38890500,318.742,-0.026650874
2016/1/7,337,339.4,324.6,337.7,59009800,327.47,-0.016741884
2016/1/6,350.4,352.019,339.1,343.45,28972700,333.046,-0.013499928
2016/1/5,349,352.5,343.5,348.15,23383200,337.603,0.00172637
2016/1/4,351.25,353.45,343.8,347.55,30115000,337.021,-0.018220339
2015/12/31,355,356.35,352.606,354,6942500,343.276,-0.003238068
2015/12/30,358,358,353.9,355.15,17521200,344.391,-0.015523216
2015/12/29,357.15,362.85,356.85,360.75,25250400,349.822,-0.014209591
2015/12/28,365.95,365.95,365.95,365.95,0,354.864,0
2015/12/25,365.95,365.95,365.95,365.95,0,354.864,0
2015/12/24,363.9,366.3,362.95,365.95,7161800,354.864,0.015399556
2015/12/23,348.1,360.85,347.95,360.4,34897100,349.482,0.0447891
2015/12/22,342,345.3,338.4,344.95,24472000,334.5,0.029087112
2015/12/21,339.5,345,335.2,335.2,27116000,325.046,-0.012083702
2015/12/18,338.05,345.3,336.35,339.3,44715100,329.021,-0.003085059
2015/12/17,345.2,345.8,339.7,340.35,30541900,330.04,0.000440917
2015/12/16,340,346.65,339.4,340.2,34985000,329.894,0.00740302
2015/12/15,330.5,340.25,330.5,337.7,40856200,327.47,0.025508655
2015/12/14,338.45,340,328.8,329.3,39295200,319.324,-0.025739645
