Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,1198,1217,1172,1172,3267500,1172,-0.023333333
2016/2/8,1225,1241,1194,1200,2499700,1200,-0.014778325
2016/2/5,1189,1225,1182,1218,4591000,1218,0.027848101
2016/2/4,1186,1191,1165,1185,2678400,1185,0.017167382
2016/2/3,1177,1197,1158,1165,2667900,1165,-0.002568493
2016/2/2,1188,1190,1150,1168,1664100,1168,-0.017661901
2016/2/1,1195,1202,1173,1189,1824500,1189,-0.005020921
2016/1/29,1179,1195,1168,1195,2631200,1195,0.030172414
2016/1/28,1181,1190,1160,1160,2766600,1160,-0.025210084
2016/1/27,1214,1220,1183,1190,2604800,1190,-0.01734104
2016/1/26,1163,1220,1155,1211,4330500,1211,0.028013582
2016/1/25,1186,1186,1163,1178,3030700,1178,-0.00254022
2016/1/22,1176,1213,1169,1181,3586400,1181,0.024284475
2016/1/21,1119,1154.68,1112,1153,2757700,1153,0.029464286
2016/1/20,1119,1156.05,1087,1120,2794000,1120,-0.016681299
2016/1/19,1150,1160,1133,1139,2432000,1139,0.016057092
2016/1/18,1115,1127.6,1112,1121,2025300,1121,0.000892857
2016/1/15,1117,1141.25,1098,1120,2586700,1120,-0.000892061
2016/1/14,1165,1173,1100,1121,5322300,1121,0.008093525
2016/1/13,1115,1127,1102,1112,2139100,1112,0.008159565
2016/1/12,1092,1123.1,1090,1103,2634000,1103,0.017527675
2016/1/11,1095,1108,1083,1084,2261600,1084,-0.010045662
2016/1/8,1084,1109,1077,1095,2828300,1095,0.015769944
2016/1/7,1063,1078,1047,1078,3574600,1078,-0.018214936
2016/1/6,1115,1115,1077,1098,2541300,1098,-0.036842105
2016/1/5,1149,1151,1113,1140,2132300,1140,0
2016/1/4,1189,1189,1136,1140,2430600,1140,-0.046025105
2015/12/31,1203,1210,1194,1195,419500,1195,-0.012396694
2015/12/30,1223,1223,1197,1210,1088500,1210,-0.012244898
2015/12/29,1217,1225,1196,1225,996700,1225,0.013234078
2015/12/24,1216,1217,1204,1209,365500,1209,-0.001651528
2015/12/23,1200,1214.5,1193,1211,1616900,1200.8,0.011695906
2015/12/22,1202,1206,1182,1197,1584400,1186.918,0.004194631
2015/12/21,1191,1212.99,1187,1192,1284200,1181.96,0.003367003
