Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,456.7,467.05,452.55,459.95,21876300,459.95,0.011323659
2016/2/8,475,476.549,453.4,454.8,23852800,454.8,-0.044337046
2016/2/5,487.25,490.4,475.6,475.9,16491300,475.9,-0.019773429
2016/2/4,491.75,494.8,483.1,485.5,16410500,485.5,-0.001028807
2016/2/3,493.75,495.5,480.75,486,19370400,486,-0.02016129
2016/2/2,495,502.3,489.05,496,23466400,496,0.00364225
2016/2/1,497,501.1,488.706,494.2,27890400,494.2,0.019284315
2016/1/29,470.7,484.85,470.7,484.85,22492200,484.85,0.04000429
2016/1/28,475.7,478.65,463.2,466.2,12228300,466.2,-0.02529793
2016/1/27,469.5,478.3,458.292,478.3,15020600,478.3,0.021353833
2016/1/26,460,470.75,456.072,468.3,20640600,468.3,-0.005732484
2016/1/25,488.2,488.2,467,471,21798400,471,-0.033350436
2016/1/22,474.65,487.9,471.4,487.25,21548500,487.25,0.046386771
2016/1/21,453.95,465.95,449.923,465.65,21609200,465.65,0.030199115
2016/1/20,460.15,461,449.35,452,16032100,452,-0.033671833
2016/1/19,466.75,469.055,462,467.75,13475900,467.75,0.018175882
2016/1/18,461.35,466.15,458.4,459.4,10232800,459.4,-0.008417872
2016/1/15,469.05,475.71,458.8,463.3,18301300,463.3,-0.007922912
2016/1/14,470,470,459.95,467,13519500,467,-0.019216633
2016/1/13,477.8,479.45,473.95,476.15,10121500,476.15,0.005809041
2016/1/12,463.15,479,460,473.4,13549200,473.4,0.022462203
2016/1/11,465.65,467.633,463,463,13735500,463,-0.00569097
2016/1/8,464.25,471.95,461.6,465.65,12134100,465.65,0.007355327
2016/1/7,460,465.25,454.8,462.25,16098600,462.25,-0.010912592
2016/1/6,463.8,467.35,459.573,467.35,12225300,467.35,0.016199174
2016/1/5,463.15,466.9,459.65,459.9,6583300,459.9,0
2016/1/4,467.25,468,457.432,459.9,11237600,459.9,-0.0250159
2015/12/31,468.65,473.85,468,471.7,3472200,471.7,0.002550478
2015/12/30,471.5,472.95,467.5,470.5,6140100,470.5,-0.003494652
2015/12/29,479.45,481.55,467.95,472.15,8551600,472.15,0.010919602
2015/12/24,465.85,471.15,464.1,467.05,1622500,467.05,-0.01237048
2015/12/23,464.5,473.9,462.75,472.9,9606600,468.5,0.029162133
2015/12/22,458.25,462.25,454.85,459.5,11109100,455.225,0.009779145
2015/12/21,458.2,461.25,455.05,455.05,11066400,450.816,-0.007091425
2015/12/18,469.45,469.45,458.3,458.3,25447900,454.036,-0.026343743
2015/12/17,476.05,476.9,470.55,470.7,13848200,466.32,0.005339598
2015/12/16,468,473.8,463.9,468.2,15598900,463.844,-0.002768903
2015/12/15,458.75,471,458.75,469.5,16610100,465.132,0.027689614
2015/12/14,462.4,466.7,456.196,456.85,13581600,452.599,-0.008033873
