Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,1274,1285,1250,1277,472600,1277,0.009486166
2016/2/8,1320,1320,1265,1265,397300,1265,-0.036557502
2016/2/5,1328,1345,1311,1313,391800,1313,-0.006807867
2016/2/4,1390,1390,1305,1322,771900,1322,-0.055714286
2016/2/3,1435,1445,1398,1400,503000,1400,-0.027777778
2016/2/2,1442,1448,1426,1440,317700,1440,-0.000693963
2016/2/1,1431,1459,1426,1441,409100,1441,0.008397481
2016/1/29,1416,1429,1406,1429,462100,1429,0.022906228
2016/1/28,1399,1420,1387,1397,351400,1397,-0.008516678
2016/1/27,1382,1409,1382,1409,358800,1409,0.015861572
2016/1/26,1369,1391,1362,1387,239300,1387,0.005801305
2016/1/25,1375,1399,1370,1379,365500,1379,0.005835157
2016/1/22,1382,1383,1357,1371,358400,1371,0.003660322
2016/1/21,1354,1377,1348,1366,457200,1366,0.014105419
2016/1/20,1365,1368,1337.63,1347,409000,1347,-0.030935252
2016/1/19,1397,1408,1387,1390,309100,1390,0.013858497
2016/1/18,1366,1384,1353,1371,401900,1371,0.003660322
2016/1/15,1381,1393,1358,1366,458400,1366,-0.01300578
2016/1/14,1397,1399,1378,1384,389200,1384,-0.021216407
2016/1/13,1423,1431,1410,1414,275400,1414,-0.000706714
2016/1/12,1412,1420,1399,1415,326200,1415,0.005685856
2016/1/11,1409,1413,1389,1407,672100,1407,0.004282655
2016/1/8,1409,1420,1400,1401,475600,1401,-0.006382979
2016/1/7,1398,1431,1392,1410,571700,1410,-0.013296011
2016/1/6,1418,1429,1413,1429,352700,1429,0.001401542
2016/1/5,1433,1438,1412,1427,197200,1427,0
2016/1/4,1440,1440,1411,1427,450900,1427,-0.014502762
2015/12/31,1464,1478.68,1448,1448,59000,1448,-0.016972166
2015/12/30,1475,1496,1467,1473,297600,1473,-0.007412399
2015/12/29,1477,1497,1455,1484,344200,1484,0.006101695
2015/12/24,1490,1490,1474,1475,30100,1475,-0.008069939
2015/12/23,1472,1489,1467,1487,228200,1487,0.018493151
2015/12/22,1458,1467,1435.5,1460,377900,1460,0.004817619
2015/12/21,1492,1508,1441,1453,687800,1453,-0.031333333
2015/12/18,1496,1505,1490,1500,697700,1500,-0.003984064
2015/12/17,1514,1517,1485,1506,691300,1506,0.012777404
2015/12/16,1486,1494,1478,1487,556700,1487,-0.002013423
2015/12/15,1427,1491,1427,1490,904600,1490,0.053748232
2015/12/14,1442,1451,1414,1414,563000,1414,-0.016689847
2015/12/11,1476,1479,1438,1438,440600,1438,-0.021768707
2015/12/10,1477,1484,1462,1470,581900,1470,-0.012096774
2015/12/9,1517,1517,1436,1488,705600,1488,-0.013916501
2015/12/8,1560,1560,1502,1509,502800,1509,-0.026451613
2015/12/7,1557,1571,1550,1550,393400,1550,0.001939237
2015/12/4,1550,1558,1544,1547,373900,1547,-0.005144695
2015/12/3,1599,1611,1555,1555,505900,1555,-0.031755915
2015/12/2,1621,1621,1606,1606,372000,1606,-0.00433974
2015/12/1,1615,1619,1597,1613,292800,1613,0.001241465
2015/11/30,1618,1629,1595,1611,484500,1611,-0.005555556
2015/11/27,1616,1628,1616,1620,200100,1620,-0.004914005
2015/11/26,1620,1628,1619,1628,392100,1628,0.002463054
2015/11/25,1623,1630,1615,1624,298800,1624,0.004329004
2015/11/24,1612,1620,1595,1617,502600,1617,-0.000618047
2015/11/23,1614,1629,1612,1618,355500,1618,-0.006752609
2015/11/20,1616,1638,1604,1629,504700,1629,0.008044554
2015/11/19,1607,1630,1606,1616,351100,1616,0.010631645
2015/11/18,1548,1631.25,1548,1599,563600,1599,0.02829582
2015/11/17,1522,1555,1516,1555,275000,1555,0.03185136
2015/11/16,1501,1519,1471,1507,341800,1507,-0.003965631
2015/11/13,1537,1540,1510,1513,355400,1513,-0.0136897
2015/11/12,1557,1563,1533.89,1534,303500,1534,-0.012870013
2015/11/11,1553,1564,1532,1554,256500,1554,0.005825243
2015/11/10,1524,1545,1513,1545,338900,1545,0.020475561
2015/11/9,1534,1547,1512,1514,409600,1514,-0.011103854
2015/11/6,1543,1557,1526,1531,358400,1531,-0.007777058
2015/11/5,1595,1595,1531,1543,449300,1543,-0.028949025
2015/11/4,1579,1595,1575,1589,209400,1589,0.008248731
2015/11/3,1562,1576,1553,1576,212600,1576,0.01285347
