Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,3000,3082,2917,3034,1398900,3004.808,0.026039905
2016/2/8,3143,3149,2950,2957,1337400,2928.549,-0.054667519
2016/2/5,3238,3266,3114,3128,1277400,3097.904,-0.030077519
2016/2/4,3282,3296,3211,3225,801200,3193.97,-0.005550416
2016/2/3,3308,3308,3213,3243,1076900,3211.797,-0.027877698
2016/2/2,3514,3530,3245,3336,1695200,3303.902,-0.050924609
2016/2/1,3499,3526,3467,3515,749900,3481.18,0.010057471
2016/1/29,3430,3480,3322,3480,1366800,3446.517,0.028368794
2016/1/28,3563,3572,3329,3384,1531800,3351.441,-0.064159292
2016/1/27,3584,3682,3581,3616,927500,3581.208,0.013452915
2016/1/26,3553,3594,3533,3568,556600,3533.67,-0.008888889
2016/1/25,3629,3629,3578,3600,616400,3565.362,-0.006896552
2016/1/22,3692,3692,3609,3625,708900,3590.122,0.001657917
2016/1/21,3535,3638,3490,3619,1094900,3584.18,0.032524964
2016/1/20,3648,3649.9,3444,3505,1652700,3471.276,-0.061076882
2016/1/19,3715,3754,3680,3733,727300,3697.083,0.021061269
2016/1/18,3605,3660,3590,3656,481200,3620.824,0.013584696
2016/1/15,3651,3720,3558.79,3607,1436900,3572.295,-0.011510003
2016/1/14,3818,3818,3621,3649,1157800,3613.891,-0.064119005
2016/1/13,3947,3955.26,3883,3899,749700,3861.486,-0.002047607
2016/1/12,3863,3951,3836,3907,845600,3869.409,0.018243419
2016/1/11,3783,3849,3748,3837,597000,3800.082,0.016962629
2016/1/8,3789,3845,3773,3773,592400,3736.698,-0.004485488
2016/1/7,3751,3801,3707,3790,660300,3753.534,-0.007853403
2016/1/6,3799,3824,3748,3820,776000,3783.246,0
2016/1/5,3836,3860,3802,3820,605000,3783.246,0.003678403
2016/1/4,3906,3906,3763,3806,773600,3769.38,-0.015519917
2015/12/31,3894,3894,3859,3866,129200,3828.803,-0.006425084
2015/12/30,3866,3921,3853,3891,434000,3853.563,0.004388229
2015/12/29,3824,3874,3793,3874,549200,3836.726,0.019473684
2015/12/28,3800,3800,3800,3800,0,3763.438,0
2015/12/25,3800,3800,3800,3800,0,3763.438,0
2015/12/24,3792,3802,3765,3800,93300,3763.438,0.002109705
2015/12/23,3771,3800.2,3741,3792,435000,3755.515,0.011469725
2015/12/22,3758,3801,3737,3749,420200,3712.929,0.007254164
2015/12/21,3672,3741,3672,3722,885100,3686.189,0.020285088
2015/12/18,3476,3670,3450,3648,1632300,3612.901,0.026449071
2015/12/17,3600,3601,3549,3554,575400,3519.805,0.002538787
2015/12/16,3545,3578,3539,3545,502700,3510.892,0.000282167
2015/12/15,3467,3553,3458,3544,586000,3509.901,0.031732169
2015/12/14,3453,3495,3435,3435,679100,3401.95,-0.003481288
2015/12/11,3476,3492,3414,3447,607800,3413.834,-0.008628128
2015/12/10,3436,3490,3425,3477,525200,3443.546,0.007534048
2015/12/9,3441,3469,3432,3451,842900,3417.796,0.003197674
2015/12/8,3485,3486.5,3418,3440,631000,3406.902,-0.016018307
2015/12/7,3473,3526,3459,3496,320600,3462.363,0.013627138
2015/12/4,3435,3471,3397,3449,634700,3415.815,-0.01316166
2015/12/3,3554,3610,3493,3495,682800,3461.373,-0.016047297
2015/12/2,3521,3557,3520,3552,420000,3517.824,0.015147185
2015/12/1,3472,3528,3459,3499,600200,3465.334,0.00981241
2015/11/30,3463,3527,3452,3465,602800,3431.661,0.000577534
2015/11/27,3466,3497,3443,3463,344300,3429.681,-0.007167431
2015/11/26,3466,3501,3455,3488,258500,3454.44,0.011600928
2015/11/25,3417,3482,3413,3448,550600,3414.825,0.016209844
2015/11/24,3461,3464,3369,3393,1013000,3360.354,-0.024719747
2015/11/23,3453,3487,3437,3479,438900,3445.527,0
2015/11/20,3462,3493,3421.03,3479,639000,3445.527,0.010749564
2015/11/19,3404,3446,3370,3442,494500,3408.883,0.012352941
2015/11/18,3449,3449,3381,3400,557800,3347.582,-0.013921114
2015/11/17,3425,3469,3425,3448,610200,3394.842,0.019213716
2015/11/16,3400,3427,3349,3383,809100,3330.844,-0.025352924
2015/11/13,3510,3524,3459,3471,356200,3417.487,-0.015039728
2015/11/12,3583,3583,3510,3524,446200,3469.67,-0.017563423
2015/11/11,3576,3620,3567,3587,576400,3531.699,0.009285312
2015/11/10,3553,3569,3516,3554,419900,3499.207,0.00708416
2015/11/9,3597,3621,3518,3529,491000,3474.593,-0.015071169
2015/11/6,3549,3610,3520,3583,558200,3527.76,0.013291855
2015/11/5,3519,3551,3485,3536,939600,3481.485,0.011441648
