Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,192.6,194.5,187.9,187.9,14219100,187.9,-0.02084419
2016/2/8,196.4,196.6,190.8,191.9,11404000,191.9,-0.022414671
2016/2/5,197.4,200.3,195.4,196.3,16411100,196.3,-0.001525941
2016/2/4,197.2,198.3,191.8,196.6,18425100,196.6,0.011316872
2016/2/3,198.4,200.1,193.3,194.4,14635000,194.4,-0.024586051
2016/2/2,204.7,206,198.3,199.3,14190400,199.3,-0.028278888
2016/2/1,205.3,207,201.549,205.1,17360600,205.1,0.001464844
2016/1/29,203.5,206,200.964,204.8,20957700,204.8,0.022977023
2016/1/28,207.9,208,199.048,200.2,36794900,200.2,-0.047120419
2016/1/27,207,210.9,205.8,210.1,17089300,210.1,0.01644896
2016/1/26,203.9,207,202.8,206.7,13037700,206.7,0.00242483
2016/1/25,207.6,208.8,205.1,206.2,14466300,206.2,-0.004826255
2016/1/22,206.9,208,205.5,207.2,14449300,207.2,0.014194812
2016/1/21,203.8,206.1,201.2,204.3,16015600,204.3,0.001470588
2016/1/20,206,207.5,202.4,204,17440500,204,-0.025787966
2016/1/19,207.8,210.8,205.9,209.4,12184900,209.4,0.020467836
2016/1/18,206.6,209,205.2,205.2,10093300,205.2,-0.008695652
2016/1/15,213.4,213.9,205.8,207,15674200,207,-0.024045262
2016/1/14,207.6,212.1,206.4,212.1,20226900,212.1,0.00903901
2016/1/13,208.7,212.4,206.9,210.2,11552200,210.2,0.017424976
2016/1/12,207.7,211.4,206.1,206.6,13206800,206.6,0.001939864
2016/1/11,206.8,208.3,205.5,206.2,9070700,206.2,-0.007699711
2016/1/8,211.1,212.7,207.8,207.8,11050700,207.8,-0.011417697
2016/1/7,209.1,210.2,205.4,210.2,16941600,210.2,-0.015917603
2016/1/6,215.5,217.2,211.3,213.6,8872600,213.6,0.007072136
2016/1/5,214.9,215.7,212.4,212.1,6996300,212.1,0
2016/1/4,216.6,216.6,210.6,212.1,13760500,212.1,-0.027510316
2015/12/31,221.2,221.2,216.7,218.1,5333200,218.1,-0.012675419
2015/12/30,221.3,224.603,219.7,220.9,7139000,220.9,0
2015/12/29,220,221.7,218.412,220.9,8079900,220.9,0.012373969
2015/12/24,218,219.9,215.975,218.2,3098500,218.2,0.006457565
2015/12/23,210.8,217.3,210.8,216.8,12452600,216.8,0.036824486
2015/12/22,211.8,211.8,208.4,209.1,7371400,209.1,-0.005233111
2015/12/21,211.2,213.1,210.2,210.2,9397300,210.2,-0.008490566
2015/12/18,211.6,214.4,211.51,212,12841300,212,-0.007025761
2015/12/17,216.5,216.5,212.3,213.5,13623400,213.5,0.002818225
2015/12/16,209.4,214.4,208.7,212.9,14912000,212.9,0.017200191
2015/12/15,209.4,214,207.9,209.3,12651000,209.3,0.005766458
2015/12/14,212,214.4,207.5,208.1,16994400,208.1,-0.013276434
