Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,1196,1209,1175,1206,5171200,1206,0.012594458
2016/2/8,1229,1234,1187,1191,6988000,1191,-0.023770492
2016/2/5,1229,1231,1215,1220,5072200,1220,0.001642036
2016/2/4,1209,1238,1206,1218,6668200,1218,0.037478705
2016/2/3,1191,1202,1167,1174,4692800,1174,-0.0092827
2016/2/2,1200,1202,1182,1185,4099500,1185,-0.011676397
2016/2/1,1209,1210,1191.79,1199,2950100,1199,-0.003325021
2016/1/29,1185,1208,1183,1203,5097200,1203,0.021222411
2016/1/28,1163,1188,1159,1178,5381100,1178,0.005977797
2016/1/27,1132,1172,1128,1171,4731700,1171,0.039964476
2016/1/26,1113,1128.42,1107,1126,3085600,1126,0.003565062
2016/1/25,1118,1124.15,1115,1122,2643300,1122,0.005376344
2016/1/22,1104,1120,1101,1116,3437500,1116,0.025735294
2016/1/21,1124,1139,1079,1088,6406500,1088,-0.040564374
2016/1/20,1147,1151,1123,1134,4597400,1114.4,-0.025773196
2016/1/19,1161,1164.23,1152,1164,3139800,1143.881,0.018372703
2016/1/18,1121,1146,1121,1143,3844200,1123.244,0.019625335
2016/1/15,1135,1153,1119,1121,5216500,1101.625,-0.011463845
2016/1/14,1138,1142.86,1126.5,1134,3688600,1114.4,-0.012195122
2016/1/13,1161,1164,1143.33,1148,2924300,1128.158,0.001745201
2016/1/12,1138,1152.15,1134,1146,3040700,1126.193,0.011473963
2016/1/11,1118,1137,1118,1133,2617300,1113.417,0.009803922
2016/1/8,1122,1140,1119,1122,2649300,1102.607,0.001785714
2016/1/7,1115,1126,1103.15,1120,3627100,1100.642,-0.014084507
2016/1/6,1141,1159.83,1127.15,1136,2445800,1116.365,0
2016/1/5,1146,1160,1138,1136,1868700,1116.365,0
2016/1/4,1169,1171,1130,1136,3202700,1116.365,-0.033191489
2015/12/31,1187,1198,1175,1175,854700,1154.691,-0.013434089
2015/12/30,1188,1195,1179,1191,1401500,1170.415,0.000840336
2015/12/29,1168,1190,1162,1190,2475200,1169.432,0.025862069
2015/12/24,1167,1168,1156,1160,297400,1139.951,-0.002579536
2015/12/23,1154,1164,1148,1163,1487400,1142.899,0.016608392
2015/12/22,1148,1148,1137.85,1144,1882800,1124.227,0.003508772
2015/12/21,1130,1156,1127,1140,2808400,1120.296,0.007067138
2015/12/18,1146,1146,1129,1132,4868100,1112.435,-0.018213356
2015/12/17,1169,1170,1148,1153,2715400,1133.072,0.003481288
2015/12/16,1142,1155,1137,1149,2515100,1129.141,0.01055409
2015/12/15,1119,1144,1114,1137,3185000,1117.348,0.025247971
2015/12/14,1110,1127,1108.5,1109,3154500,1089.832,-0.00448833
2015/12/11,1124,1128,1113,1114,2685300,1094.746,-0.009777778
2015/12/10,1130,1132,1119,1125,2166100,1105.556,-0.007936508
2015/12/9,1138,1151,1133.77,1134,2912000,1114.4,-0.004389816
2015/12/8,1165,1165,1137,1139,3710400,1119.314,-0.022317597
2015/12/7,1170,1184,1163,1165,1916400,1144.864,0.003445306
2015/12/4,1154,1161,1144,1161,3553100,1140.933,0.006065858
2015/12/3,1180,1186,1149.64,1154,4384700,1134.054,-0.020373514
2015/12/2,1174,1185.85,1169,1178,3141700,1157.639,0.007698888
2015/12/1,1160,1174,1158,1169,4867200,1148.795,0.012998267
2015/11/30,1141,1156,1134,1154,4584300,1134.054,0.011393514
2015/11/27,1128,1147,1125,1141,3466700,1121.279,0.0070609
2015/11/26,1117,1134,1115,1133,3457700,1113.417,0.014324082
2015/11/25,1082,1118,1082,1117,5484700,1097.694,0.034259259
2015/11/24,1090,1095,1066,1080,4875200,1061.333,0.002785515
2015/11/23,1062,1078,1061,1077,3072200,1058.385,0.003727866
2015/11/20,1078,1084,1069.17,1073,3722500,1054.454,-0.001860465
2015/11/19,1063,1090,1062.25,1075,4621300,1056.42,0.017992424
2015/11/18,1048,1059,1043.36,1056,2705200,1037.748,0.006673022
2015/11/17,1040,1051.75,1038,1049,3190300,1030.869,0.018446602
2015/11/16,1016,1031,1013,1030,3338200,1012.198,0.00292113
2015/11/13,1040,1043,1026,1027,2525200,1009.249,-0.01722488
2015/11/12,1061,1065,1045,1045,2279800,1026.938,-0.012287335
2015/11/11,1051,1060,1045,1058,2300000,1039.714,0.005703422
2015/11/10,1065,1065,1044,1052,2558500,1033.817,-0.005671078
2015/11/9,1070,1072,1058,1058,2274800,1039.714,-0.013059701
2015/11/6,1074,1078,1064,1072,2299100,1053.472,0.002806361
2015/11/5,1071,1085,1067,1069,3027900,1050.523,-0.000934579
2015/11/4,1086,1087,1069,1070,2818800,1051.506,-0.013824885
2015/11/3,1088,1091,1082,1085,2528400,1066.247,0.001846722
2015/11/2,1104,1107,1080,1083,5162700,1064.281,-0.032171582
2015/10/30,1120,1120,1110,1119,2351300,1099.659,0.000894454
2015/10/29,1113,1119,1102,1118,2392200,1098.677,0.005395683
2015/10/28,1093,1115.15,1093,1112,2047600,1092.78,0.01459854
2015/10/27,1099,1106,1096,1096,1650000,1077.057,-0.003636364
2015/10/26,1096,1103,1094,1100,1627400,1080.988,0
2015/10/23,1093,1106,1089,1100,2703900,1080.988,0.01010101
2015/10/22,1081,1092,1079,1089,2792300,1070.178,0.001839926
2015/10/21,1081,1087,1073,1087,1964100,1068.212,0.010223048
2015/10/20,1072,1082,1072,1076,2420900,1057.402,0.003731343
2015/10/19,1055,1073,1055,1072,2414900,1053.472,0.017077799
2015/10/16,1063,1071,1053,1054,3658100,1035.783,-0.007532957
2015/10/15,1054,1065,1045,1062,2211800,1043.644,0.014326648
2015/10/14,1059,1063,1047,1047,2221000,1028.904,-0.014124294
2015/10/13,1077,1077,1062,1062,3000800,1043.644,-0.012093023
2015/10/12,1073,1075,1065,1075,2792600,1056.42,0.000931099
2015/10/9,1078,1079,1066,1074,2810400,1055.437,0.004677268
2015/10/8,1072,1079,1061,1069,3470000,1050.523,-0.000934579
2015/10/7,1079,1084,1065,1070,3573400,1051.506,-0.00742115
2015/10/6,1082,1083,1076,1078,2918200,1059.368,0.000928505
2015/10/5,1065,1077,1060.76,1077,2215100,1058.385,0.023764259
