Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,1062,1068,1040,1063,2304000,1063,0.006628788
2016/2/8,1099,1104,1053,1056,2096400,1056,-0.038251366
2016/2/5,1112,1125,1098,1098,2319900,1098,-0.012589928
2016/2/4,1129,1129,1102,1112,1948600,1112,0
2016/2/3,1133,1139,1106,1112,1218900,1112,-0.020264317
2016/2/2,1160,1160,1129,1135,1080000,1135,-0.020707506
2016/2/1,1181,1192,1131,1159,2175300,1159,-0.013617021
2016/1/29,1151,1175,1132,1175,1735600,1175,0.031606673
2016/1/28,1138,1154,1134,1139,1173000,1139,-0.00262697
2016/1/27,1168,1171,1123,1142,3179000,1142,-0.021422451
2016/1/26,1147,1168,1147,1167,1169100,1167,0.001716738
2016/1/25,1172,1174,1160,1165,949900,1165,0.002581756
2016/1/22,1162,1173,1156,1162,1404500,1162,0.015734266
2016/1/21,1118,1149,1118,1144,1643800,1144,0.02785265
2016/1/20,1138,1144,1105,1113,1715300,1113,-0.039689387
2016/1/19,1150,1163,1149,1159,823600,1159,0.020246479
2016/1/18,1142,1156,1135,1136,868000,1136,-0.00525394
2016/1/15,1169,1178,1140,1142,1782900,1142,-0.024765158
2016/1/14,1178,1178,1154,1171,1225000,1171,-0.016792611
2016/1/13,1186,1206,1183,1191,1759400,1191,0.021440823
2016/1/12,1160,1178,1154,1166,1269500,1166,0.008650519
2016/1/11,1156,1167,1153,1156,834300,1156,-0.008576329
2016/1/8,1166,1185,1158,1166,1352100,1166,0.007778738
2016/1/7,1159,1174,1150,1157,1485000,1157,-0.022804054
2016/1/6,1185,1185,1171,1184,1308500,1184,0.000845309
2016/1/5,1200,1202,1178,1183,530700,1183,0
2016/1/4,1192,1197,1178,1183,1099500,1183,-0.020695364
2015/12/31,1224,1224,1208,1208,422900,1208,-0.00902379
2015/12/30,1226,1230,1217,1219,877300,1219,-0.008943089
2015/12/29,1233,1236,1218,1230,1032600,1230,0.00572363
2015/12/24,1219,1223,1214,1223,84800,1223,0.009075908
2015/12/23,1198,1223,1196.7,1212,1200600,1212,0.018487395
2015/12/22,1181,1193,1174,1190,1122400,1190,0.011904762
2015/12/21,1181,1194,1175,1176,1091300,1176,-0.00591716
2015/12/18,1204,1205,1183,1183,2265800,1183,-0.02231405
2015/12/17,1197,1212.3,1193.75,1210,2253900,1210,0.031543052
2015/12/16,1149,1178,1146,1173,1438800,1173,0.023560209
2015/12/15,1154,1158,1138,1146,2294800,1146,0.000873362
2015/12/14,1158,1171,1145,1145,1836800,1145,-0.00779896
2015/12/11,1183,1200,1154,1154,2384500,1154,-0.024513948
2015/12/10,1176,1203,1162,1183,1412800,1183,0.004244482
2015/12/9,1220,1221.74,1178,1178,2300900,1178,-0.029654036
2015/12/8,1232,1244,1214,1214,1375800,1214,-0.01300813
2015/12/7,1250,1263,1230,1230,1419100,1230,-0.008064516
2015/12/4,1235,1244,1230,1240,1236200,1240,0.000807103
2015/12/3,1270,1286,1239,1239,1456900,1239,-0.028996865
2015/12/2,1285,1291,1276,1276,976400,1276,-0.005455963
2015/12/1,1277,1288,1273,1283,743000,1283,0.008647799
2015/11/30,1268,1276,1263,1272,1411700,1272,0.00394633
2015/11/27,1261,1274,1261,1267,558600,1267,0
2015/11/26,1259,1274,1256,1267,670900,1267,0.009561753
2015/11/25,1233,1269,1230.52,1255,1167600,1255,0.021986971
2015/11/24,1243,1247,1223,1228,771100,1228,-0.012861736
2015/11/23,1241,1252,1241,1244,688900,1244,-0.005595524
2015/11/20,1249,1255,1238,1251,1066400,1251,0
2015/11/19,1243,1254,1242,1251,994100,1251,0.011317704
2015/11/18,1235,1238,1225,1237,885100,1237,0.000809061
2015/11/17,1216,1236,1216,1236,1040300,1236,0.03
2015/11/16,1188,1203,1187,1200,1237100,1200,0.001669449
2015/11/13,1217,1220,1195,1198,1390200,1198,-0.017227235
2015/11/12,1254,1258,1218,1219,1278300,1219,-0.027910686
2015/11/11,1252,1266,1249,1254,693500,1254,0.004807692
2015/11/10,1267,1268,1245,1248,1040400,1248,-0.013438735
2015/11/9,1275,1278,1265,1265,1158700,1265,-0.007843137
2015/11/6,1296,1297,1264,1275,1772200,1275,-0.016203704
2015/11/5,1290,1306,1282,1296,2223100,1296,0.003095975
2015/11/4,1281,1293,1281,1292,724400,1292,0.007800312
2015/11/3,1284,1286,1276,1282,653600,1282,-0.001557632
2015/11/2,1271,1287,1271,1284,619400,1284,0.007058824
2015/10/30,1280,1285,1268,1275,1033800,1275,-0.000783699
2015/10/29,1273,1279,1268.72,1276,1496200,1276,0.003144654
2015/10/28,1255,1278,1255,1272,794400,1272,0.008723236
2015/10/27,1266,1266,1253,1261,951500,1261,-0.004735596
2015/10/26,1269,1274,1264,1267,690700,1267,-0.00627451
2015/10/23,1260,1275,1258,1275,998600,1275,0.016746411
2015/10/22,1249,1258,1245,1254,704200,1254,-0.00555115
2015/10/21,1266,1270,1257.5,1261,650900,1250.5,0
2015/10/20,1265,1270,1257.65,1261,798500,1250.5,0
2015/10/19,1258,1268,1258,1261,690100,1250.5,-0.002373418
2015/10/16,1251,1270,1250,1264,1428000,1253.475,0.021001616
2015/10/15,1233,1241,1226,1238,839300,1227.692,0.005686434
2015/10/14,1251,1260,1231,1231,1024100,1220.75,-0.018341308
2015/10/13,1254,1260,1250,1254,853200,1243.558,-0.000796813
2015/10/12,1249,1260.2,1248,1255,752200,1244.55,0.003197442
2015/10/9,1252,1260,1247,1251,657300,1240.583,0.004819277
2015/10/8,1234,1252,1234,1245,782900,1234.633,0.008097166
2015/10/7,1254,1262,1234,1235,1582700,1224.717,-0.012789768
2015/10/6,1250,1254,1244,1251,856900,1240.583,0.002403846
2015/10/5,1233,1248,1223,1248,1422400,1237.608,0.028854081
2015/10/2,1215,1224,1198,1213,1032900,1202.9,0.001651528
2015/10/1,1214,1220,1202,1211,1332400,1200.916,0.010851419
2015/9/30,1209,1209,1192,1198,1575200,1188.025,0.006722689
2015/9/29,1197,1202,1190,1190,1421800,1180.091,-0.01734104
2015/9/28,1207,1217,1204,1211,1034200,1200.916,-0.000825083
2015/9/25,1212,1217,1204,1212,1081700,1201.908,0.012531328
2015/9/24,1191,1203,1189,1197,1600700,1187.033,0.003352892
2015/9/23,1174,1200,1174,1193,940700,1183.066,0.016183986
2015/9/22,1195,1195,1169.35,1174,1335000,1164.224,-0.013445378
2015/9/21,1188,1204,1186,1190,805100,1180.091,-0.002514669
2015/9/18,1202,1202.25,1186,1193,1489100,1183.066,-0.007487521
2015/9/17,1210,1212,1195,1202,841700,1191.991,-0.007431874
2015/9/16,1206,1214,1203,1211,752800,1200.916,0.007487521
2015/9/15,1201,1211,1185,1202,1043600,1191.991,0.003338898
2015/9/14,1225,1225,1197,1198,2557300,1188.025,-0.016420361
2015/9/11,1230,1235,1214,1218,763300,1207.858,-0.006525285
2015/9/10,1223,1234.3,1219.8,1226,930400,1215.791,-0.00487013
2015/9/9,1238,1246,1229,1232,799900,1221.741,0.009836066
2015/9/8,1214,1235.28,1214,1220,1016800,1209.841,0.009933775
2015/9/7,1205,1211,1197,1208,889700,1197.941,0.010033445
2015/9/4,1223,1226.55,1195,1196,1300300,1186.041,-0.03236246
2015/9/3,1235,1246,1228,1236,1046700,1225.708,0.008979592
2015/9/2,1203,1229.5,1202,1225,2042700,1214.8,0.024247492
2015/9/1,1222,1231,1193,1196,1976200,1186.041,-0.03236246
2015/8/31,1236,1236,1236,1236,0,1225.708,0
2015/8/28,1231,1236,1217,1236,1186100,1225.708,0.00243309
2015/8/27,1236,1238,1220,1233,1131500,1222.733,0.018166804
2015/8/26,1195,1230,1187,1211,1919600,1200.916,0.004145937
2015/8/25,1192,1210.17,1190,1206,2011000,1195.958,0.022900763
2015/8/24,1202,1210.65,1161,1179,2441200,1169.183,-0.04224208
2015/8/21,1245,1256,1231,1231,1234000,1220.75,-0.019904459
2015/8/20,1271,1276.12,1255,1256,1006600,1245.542,-0.01875
2015/8/19,1294,1297,1280,1280,1178000,1269.342,-0.011583012
2015/8/18,1298,1300,1290,1295,615300,1284.217,-0.003846154
2015/8/17,1294,1303,1286,1300,771400,1289.175,0.01010101
2015/8/14,1289,1290,1281.45,1287,1630100,1276.284,0.002336449
2015/8/13,1293,1298,1281,1284,1922000,1273.309,0.003909304
2015/8/12,1280,1285,1265,1279,1324400,1268.35,-0.006987578
2015/8/11,1295,1301,1286,1288,985600,1277.275,-0.009230769
2015/8/10,1301,1304,1286,1300,935100,1289.175,0.004636785
2015/8/7,1303,1304,1291,1294,1365600,1283.225,-0.010703364
2015/8/6,1311,1315,1301,1308,1043400,1297.109,-0.006833713
2015/8/5,1314,1317,1296,1317,1544100,1306.034,0.003810976
2015/8/4,1301,1312,1290,1312,1317100,1301.075,0.010785824
2015/8/3,1299,1313,1293,1298,1081500,1287.192,-0.004601227
2015/7/31,1285,1304,1280,1304,1312900,1293.142,0.019546521
2015/7/30,1271,1284,1271,1279,1595100,1268.35,0.006294256
2015/7/29,1260,1275,1253,1271,2226000,1260.417,-0.011664075
2015/7/28,1278,1287,1276,1286,1121700,1275.292,0.007836991
2015/7/27,1291,1295,1275,1276,1058700,1265.375,-0.01619121
2015/7/24,1298,1310,1291,1297,1244100,1286.2,-0.003074558
2015/7/23,1304,1312,1300,1301,1090000,1290.167,0.00308404
2015/7/22,1300,1304,1286,1297,1423000,1286.2,-0.016679303
2015/7/21,1329,1336,1315,1319,896900,1308.017,-0.005279035
2015/7/20,1318,1333,1318,1326,849200,1314.959,0.004545455
2015/7/17,1323,1323,1310,1320,1369100,1309.009,0
2015/7/16,1303,1320,1301,1320,1109100,1309.009,0.016949153
2015/7/15,1296,1300,1289,1298,939600,1287.192,0.002316602
