Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,1630,1654,1581,1639,4317400,1639,0.001221747
2016/2/8,1768,1770,1626.55,1637,3427400,1637,-0.075141243
2016/2/5,1784,1809,1763.85,1770,1936900,1770,-0.003378378
2016/2/4,1765,1785,1722,1776,3740900,1776,0.020103389
2016/2/3,1771,1794.34,1738,1741,2130800,1741,-0.026286353
2016/2/2,1843,1856.75,1775,1788,1347700,1788,-0.032990806
2016/2/1,1863,1882.5,1828,1849,1006900,1849,-0.002696872
2016/1/29,1800,1854,1792,1854,1691600,1854,0.037493005
2016/1/28,1856,1861,1783,1787,3211100,1787,-0.041823056
2016/1/27,1850,1865,1825.93,1865,1319600,1865,0.015795207
2016/1/26,1812,1846,1803,1836,969200,1836,-0.007030827
2016/1/25,1849,1866.38,1830.85,1849,919600,1849,0.002711497
2016/1/22,1840,1868.8,1815,1844,2215400,1844,0.023875625
2016/1/21,1772,1814.3,1754.41,1801,1755600,1801,0.023877203
2016/1/20,1780,1792,1744,1759,2299900,1759,-0.035106967
2016/1/19,1779,1825,1778,1823,1782800,1823,0.039931546
2016/1/18,1789,1815.42,1751,1753,1374500,1753,-0.017376682
2016/1/15,1845,1853,1778,1784,3144200,1784,-0.025136612
2016/1/14,1845,1848,1815.91,1830,1966300,1830,-0.021913415
2016/1/13,1883,1910.88,1864.35,1871,2414900,1871,0.002142475
2016/1/12,1848,1892,1840.12,1867,1373600,1867,0.010281385
2016/1/11,1837,1874.31,1837,1848,1213500,1848,-0.000540833
2016/1/8,1865,1887.41,1835.52,1849,1226200,1849,-0.00804721
2016/1/7,1864,1889,1841.11,1864,1692100,1864,-0.017395888
2016/1/6,1917,1939.01,1875,1897,1154200,1897,-0.010432968
2016/1/5,1927,1958.76,1924,1917,653700,1917,0
2016/1/4,1948,1973,1896.02,1917,1062700,1917,-0.02739726
2015/12/31,1985,1985,1959,1971,133500,1971,-0.000507099
2015/12/30,1980,1987,1969,1972,275900,1972,-0.004040404
2015/12/29,1963,1990,1950,1980,629400,1980,0.017471737
2015/12/24,1954,1955,1930,1946,84200,1946,0
2015/12/23,1943,1963.27,1929,1946,1021500,1946,0.009859886
2015/12/22,1923,1936,1906.9,1927,715200,1927,0.008900524
2015/12/21,1907,1948,1897.97,1910,1406000,1910,0.001048218
2015/12/18,1904,1920,1879.54,1908,1590500,1908,-0.006767309
2015/12/17,1911,1933,1907,1921,1237600,1921,0.023441662
2015/12/16,1878,1891,1869.98,1877,1121200,1877,-0.004244032
2015/12/15,1899,1900,1878,1885,1611400,1885,0.005333333
2015/12/14,1880,1904,1853.95,1875,1903900,1875,-0.002659574
2015/12/11,1912,1919,1880,1880,1902300,1880,-0.019812304
2015/12/10,1930,1940,1916.56,1918,1216800,1918,-0.011849562
2015/12/9,1956,1968,1931,1941,4158500,1941,-0.004615385
2015/12/8,1970,1977,1943,1950,2400000,1950,-0.011657375
2015/12/7,1959,1979,1947,1973,941400,1973,0.009207161
2015/12/4,1942,1967,1925,1955,1406300,1955,0.00669413
2015/12/3,1973,1990,1903.36,1942,2660000,1942,-0.018200202
2015/12/2,1985,2000.01,1965.47,1978,1196300,1978,0.006103764
2015/12/1,1964,1972,1952,1966,2531100,1966,0.005626598
2015/11/30,1950,1976,1950,1955,1520800,1955,-0.00255102
2015/11/27,1950,1989,1943,1960,1708800,1960,-0.003051882
2015/11/26,1940,1966,1930,1966,1474200,1966,0.021829522
2015/11/25,1915,1935.37,1907,1924,1566300,1924,0.011035208
2015/11/24,1919,1919,1882.6,1903,2960800,1903,-0.007303078
2015/11/23,1882,1921,1881,1917,1855200,1917,0.008947368
2015/11/20,1887,1912,1816.02,1900,4346700,1900,0.013333333
2015/11/19,1810,1890,1735,1875,2884000,1875,0.054555681
