Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,425.8,430.9,415.4,422.9,3943200,422.9,-0.002829521
2016/2/8,444,444.6,424.1,424.1,4159700,424.1,-0.036355374
2016/2/5,449.9,455.2,440.1,440.1,3221500,440.1,-0.019166481
2016/2/4,465.1,465.1,448.7,448.7,3574800,448.7,-0.020091723
2016/2/3,464.2,468.2,457.1,457.9,3747800,457.9,-0.014421007
2016/2/2,476.2,476.2,463.1,464.6,2502800,464.6,-0.024973767
2016/2/1,475.2,477.2,469.2,476.5,2500000,476.5,0.005910914
2016/1/29,469,473.7,462.9,473.7,3445700,473.7,0.022668394
2016/1/28,468.4,472.1,462.688,463.2,3031200,463.2,-0.01656051
2016/1/27,458,471.2,455.5,471,3559300,471,0.031763417
2016/1/26,464.3,470.316,452.3,456.5,5161800,456.5,-0.022693213
2016/1/25,468.4,471.559,465.1,467.1,3391500,467.1,0.0047322
2016/1/22,455.1,466.1,452.7,464.9,3433100,464.9,0.046129613
2016/1/21,430.9,444.4,430.166,444.4,3808900,444.4,0.036622347
2016/1/20,441.1,442.662,426.9,428.7,3785500,428.7,-0.046273637
2016/1/19,449.6,452.3,444.86,449.5,1702700,449.5,0.016738295
2016/1/18,445,450.228,414.7,442.1,3025400,442.1,-0.00740907
2016/1/15,453.9,460.1,442.9,445.4,3513100,445.4,-0.020883711
2016/1/14,465.5,466.66,450.1,454.9,2933900,454.9,-0.031303237
2016/1/13,476.6,478.748,467.3,469.6,1789600,469.6,-0.007607777
2016/1/12,466.5,477.601,465.3,473.2,2061500,473.2,0.020047424
2016/1/11,462,466.7,460.432,463.9,2370200,463.9,0.001295057
2016/1/8,471.9,475.2,463.3,463.3,3143300,463.3,-0.015302869
2016/1/7,470,473,464.4,470.5,3239500,470.5,-0.019995834
2016/1/6,488.5,490.8,475.6,480.1,3231700,480.1,-0.025573371
2016/1/5,494.5,497.4,487.18,492.7,1267900,492.7,0
2016/1/4,497.3,506.5,490.8,492.7,2284300,492.7,-0.0146
2015/12/31,495.8,501,495.12,500,1479500,500,0.001602564
2015/12/30,499.8,501.5,495.1,499.2,998400,495.95,-0.0016
2015/12/29,500,501,495.5,500,2335700,496.745,0.004621258
2015/12/24,500,500,495.322,497.7,590100,494.46,0
2015/12/23,493.9,499.3,490.8,497.7,1661500,494.46,0.015921617
2015/12/22,489,489.9,484.2,489.9,1327900,486.711,0.012190083
2015/12/21,479,487.7,476.763,484,1998800,480.849,0.014462377
2015/12/18,484.5,487,477.1,477.1,2870200,473.994,-0.022336066
2015/12/17,493,493,485.9,488,2440300,484.823,0.005978149
2015/12/16,485,500,480.211,485.1,5121400,481.942,0.017621145
2015/12/15,470,478.9,464.4,476.7,3992100,473.596,0.026264801
2015/12/14,471.9,476.1,464.5,464.5,2279900,461.476,-0.012962176
2015/12/11,475.3,477.6,465.98,470.6,2500800,467.536,-0.012589173
2015/12/10,483.8,483.8,474.7,476.6,3097500,473.497,-0.019744961
2015/12/9,478.7,488.5,478.7,486.2,4253000,483.035,0.014395994
2015/12/8,482.5,485.6,477.1,479.3,1782600,476.18,-0.010324179
2015/12/7,481.5,486.4,477.881,484.3,2561200,481.147,0.009799833
2015/12/4,475.8,481.3,472.8,479.6,3258700,476.478,0.003977392
2015/12/3,484.1,489,477.2,477.7,1911300,474.59,-0.016065911
2015/12/2,488.1,489.3,484.1,485.5,1606000,482.339,-0.003898236
2015/12/1,488.2,490.6,483,487.4,2210000,484.227,0.005570456
2015/11/30,480.8,488.455,479.6,484.7,4858000,481.544,0.006436877
2015/11/27,471,483,470.5,481.6,3968200,478.465,0.016462642
2015/11/26,461.7,473.8,460.9,473.8,1403700,470.715,0.024653979
2015/11/25,454.7,463.8,453.2,462.4,1704000,459.39,0.019175667
