Date,Open,High,Low,Close,Volume,Adj Close,Return
2016/2/9,4806,4841,4654,4835,413200,4835,0.011717933
2016/2/8,5090,5095,4763,4779,276200,4779,-0.060176991
2016/2/5,5210,5220,5080,5085,241300,5085,-0.022115385
2016/2/4,5255,5260,5165,5200,216100,5200,-0.000960615
2016/2/3,5265,5300,5165,5205,165300,5205,-0.016997167
2016/2/2,5385,5385,5255,5295,128700,5295,-0.01304753
2016/2/1,5410,5455,5315,5365,189000,5365,-0.007400555
2016/1/29,5355,5430,5320,5405,303000,5405,0.025616698
2016/1/28,5215,5305,5215,5270,385100,5270,0.004766444
2016/1/27,5110,5245,5110,5245,264800,5245,0.021421616
2016/1/26,5020,5140,5005,5135,230000,5135,0.009832842
2016/1/25,5055,5120,5030,5085,310200,5085,0.009930487
2016/1/22,5010,5040,4975,5035,376700,5035,0.01532567
2016/1/21,4983,5010,4847,4959,266300,4959,-0.002815202
2016/1/20,4971,5025,4946,4973,293900,4973,-0.017193676
2016/1/19,5050,5090,4990.98,5060,297400,5060,0.010989011
2016/1/18,5120,5150,4957,5005,283200,5005,-0.026264591
2016/1/15,5245,5265.74,5135,5140,329200,5140,-0.017208413
2016/1/14,5300,5365,5205,5230,242600,5230,-0.020599251
2016/1/13,5380,5402.23,5335,5340,266200,5340,0.003759398
2016/1/12,5360,5365,5320,5320,186100,5320,-0.004677268
2016/1/11,5370,5400,5315,5345,309500,5345,-0.005581395
2016/1/8,5435,5475,5375,5375,197600,5375,-0.006469501
2016/1/7,5435,5495,5400,5410,304800,5410,-0.025225225
2016/1/6,5600,5610,5490,5550,344900,5550,0.010928962
2016/1/5,5500,5610,5500,5490,172300,5490,0
2016/1/4,5615,5615,5470,5490,276900,5490,-0.030035336
2015/12/31,5690,5707.4,5655,5660,48700,5660,-0.005272408
2015/12/30,5645,5700,5645,5690,91700,5690,0.003527337
2015/12/29,5665,5695,5630,5670,169900,5670,0.008896797
2015/12/24,5625,5665,5610,5620,14500,5620,-0.002661934
2015/12/23,5600,5650,5575,5635,145600,5635,0.010762332
2015/12/22,5550,5590,5535,5575,180900,5575,0.00631769
2015/12/21,5485,5610,5485,5540,224000,5540,0.007272727
2015/12/18,5590,5610,5445,5500,1783400,5500,-0.016100179
2015/12/17,5665,5685,5545,5590,352000,5590,-0.00445236
2015/12/16,5675,5685,5545,5615,265900,5615,-0.00619469
2015/12/15,5710,5715,5630,5650,211200,5650,-0.002647838
2015/12/14,5720,5815,5645,5665,170300,5665,-0.014782609
2015/12/11,5810,5835,5735,5750,112400,5750,-0.014567266
2015/12/10,5840,5860,5780,5835,198500,5835,-0.000856164
2015/12/9,5815,5875,5805,5840,181200,5840,0.000856898
2015/12/8,5905,5930,5810,5835,229900,5835,-0.008496177
2015/12/7,5975,6025,5850,5885,231000,5885,-0.014237856
2015/12/4,5930,5980,5925,5970,100700,5970,0.003361345
2015/12/3,6020,6060,5925,5950,258700,5950,-0.007506255
2015/12/2,6005,6005,5940,5995,212700,5995,0.006717045
2015/12/1,6000,6040,5945,5955,173400,5955,-0.002512563
2015/11/30,5875,6030,5875,5970,219800,5970,0.006745363
2015/11/27,5900,5965,5870,5930,179600,5930,-0.001683502
2015/11/26,5900,5985,5900,5940,111200,5940,0.008488964
2015/11/25,5830,5905,5830,5890,161600,5890,0.005119454
2015/11/24,5910,5910,5785,5860,131500,5860,-0.005937235
2015/11/23,5770,5905,5770,5895,133500,5895,0.011149228
2015/11/20,5880,5885,5750,5830,254500,5830,-0.005119454
2015/11/19,5750,5890,5750,5860,304200,5860,0.014718615
2015/11/18,5785,5870,5765,5775,417100,5741.96,-0.002590674
2015/11/17,5810,5810,5740,5790,314000,5756.87,0.009590235
